concept_id,entry_id,id,lemma,main_word,meaning,name,part_of_speech,poses,synset_id,synt_type
114961,742211,114961-V-742211,СПУСТИТЬСЯ ПОЛЗКОМ,СПУСТИТЬСЯ,1,СПУСТИТЬСЯ ПОЛЗКОМ,V,V Adv,114961-V,VG
114961,153956,114961-V-153956,СПОЛЗАТЬ,,2,СПОЛЗАТЬ,V,,114961-V,V
114961,153958,114961-V-153958,СПОЛЗТИ,,2,СПОЛЗТИ,V,,114961-V,V
114108,146940,114108-V-146940,ПЕЧАТАТЬ,,2,ПЕЧАТАТЬ,V,,114108-V,V
114108,732439,114108-V-732439,ПЕЧАТАТЬСЯ,,3,ПЕЧАТАТЬСЯ,V,,114108-V,V
114108,181926,114108-V-181926,ДОПЕЧАТАТЬ,,1,ДОПЕЧАТАТЬ,V,,114108-V,V
114108,181927,114108-V-181927,ДОПЕЧАТЫВАТЬ,,1,ДОПЕЧАТЫВАТЬ,V,,114108-V,V
114108,150073,114108-V-150073,ПРОПЕЧАТЫВАТЬ,,1,ПРОПЕЧАТЫВАТЬ,V,,114108-V,V
114108,143091,114108-V-143091,НАПЕЧАТАТЬ,,2,НАПЕЧАТАТЬ,V,,114108-V,V
114108,150071,114108-V-150071,ПРОПЕЧАТАТЬ,,1,ПРОПЕЧАТАТЬ,V,,114108-V,V
114108,145598,114108-V-145598,ОТПЕЧАТАТЬ,,2,ОТПЕЧАТАТЬ,V,,114108-V,V
114108,145602,114108-V-145602,ОТПЕЧАТЫВАТЬ,,2,ОТПЕЧАТЫВАТЬ,V,,114108-V,V
117621,135375,117621-V-135375,ВЫКЛАДЫВАТЬ,,5,ВЫКЛАДЫВАТЬ,V,,117621-V,V
117621,135460,117621-V-135460,ВЫЛОЖИТЬ,,5,ВЫЛОЖИТЬ,V,,117621-V,V
118572,134858,118572-V-134858,ВООБРАЖАТЬ,,4,ВООБРАЖАТЬ,V,,118572-V,V
118572,134859,118572-V-134859,ВООБРАЗИТЬ,,3,ВООБРАЗИТЬ,V,,118572-V,V
120195,161367,120195-V-161367,ПРОНЕСТИ,,4,ПРОНЕСТИ,V,,120195-V,V
120195,744919,120195-V-744919,ОПАСНОСТЬ МИНОВАТЬ,МИНОВАТЬ,1,ОПАСНОСТЬ МИНОВАЛА,V,N V,120195-V,VG
120195,161368,120195-V-161368,ПРОНОСИТЬ,,4,ПРОНОСИТЬ,V,,120195-V,V
111611,147308,111611-V-147308,ПОВЛИЯТЬ,,1,ПОВЛИЯТЬ,V,,111611-V,V
111611,174640,111611-V-174640,ОКАЗЫВАТЬ ВЛИЯНИЕ,ОКАЗЫВАТЬ,1,ОКАЗЫВАТЬ ВЛИЯНИЕ,V,V N,111611-V,VG
111611,174639,111611-V-174639,ОКАЗАТЬ ВЛИЯНИЕ,ОКАЗАТЬ,1,ОКАЗАТЬ ВЛИЯНИЕ,V,V N,111611-V,VG
111611,134623,111611-V-134623,ВЛИЯТЬ,,1,ВЛИЯТЬ,V,,111611-V,V
111611,134742,111611-V-134742,ВОЗДЕЙСТВОВАТЬ,,1,ВОЗДЕЙСТВОВАТЬ,V,,111611-V,V
119961,736644,119961-V-736644,ИСПЫТЫВАТЬ СТЫД,ИСПЫТЫВАТЬ,1,ИСПЫТЫВАТЬ СТЫД,V,V N,119961-V,VG
119961,160770,119961-V-160770,СТЫДИТЬСЯ,,3,СТЫДИТЬСЯ,V,,119961-V,V
119961,156270,119961-V-156270,УСТЫДИТЬСЯ,,1,УСТЫДИТЬСЯ,V,,119961-V,V
119961,183267,119961-V-183267,ЗАСТЫДИТЬСЯ,,1,ЗАСТЫДИТЬСЯ,V,,119961-V,V
119961,156272,119961-V-156272,УСТЫЖАТЬСЯ,,1,УСТЫЖАТЬСЯ,V,,119961-V,V
119961,754624,119961-V-754624,ГОРЕТЬ ОТ СТЫД,ГОРЕТЬ,1,ГОРЕТЬ ОТ СТЫДА,V,V Prep N,119961-V,VG
119961,160771,119961-V-160771,ПОСТЫДИТЬСЯ,,1,ПОСТЫДИТЬСЯ,V,,119961-V,V
119961,749524,119961-V-749524,СГОРАТЬ СО СТЫД,СГОРАТЬ,1,СГОРАТЬ СО СТЫДА,V,V Prep N,119961-V,VG
119961,147981,119961-V-147981,ПОКРАСНЕТЬ,,3,ПОКРАСНЕТЬ,V,,119961-V,V
119961,742860,119961-V-742860,КРАСНЕТЬ ОТ СТЫД,КРАСНЕТЬ,1,КРАСНЕТЬ ОТ СТЫДА,V,V Prep N,119961-V,VG
119961,140852,119961-V-140852,КРАСНЕТЬ,,4,КРАСНЕТЬ,V,,119961-V,V
119961,749523,119961-V-749523,СГОРАТЬ ОТ СТЫД,СГОРАТЬ,1,СГОРАТЬ ОТ СТЫДА,V,V Prep N,119961-V,VG
119961,742861,119961-V-742861,ПОКРАСНЕТЬ ОТ СТЫД,ПОКРАСНЕТЬ,1,ПОКРАСНЕТЬ ОТ СТЫДА,V,V Prep N,119961-V,VG
115075,144475,115075-V-144475,ОВЛАДЕВАТЬ,,3,ОВЛАДЕВАТЬ,V,,115075-V,V
115075,144477,115075-V-144477,ОВЛАДЕТЬ,,3,ОВЛАДЕТЬ,V,,115075-V,V
113006,143329,113006-V-143329,НАТКАТЬ,,1,НАТКАТЬ,V,,113006-V,V
113006,155067,113006-V-155067,ТКАТЬ,,2,ТКАТЬ,V,,113006-V,V
113006,181061,113006-V-181061,ВЫТКАТЬ,,1,ВЫТКАТЬ,V,,113006-V,V
121198,152760,121198-V-152760,СИДЕТЬ,,4,СИДЕТЬ,V,,121198-V,V
126326,162873,126326-V-162873,ИЗРЕЗЫВАТЬ,,3,ИЗРЕЗЫВАТЬ,V,,126326-V,V
126326,162872,126326-V-162872,ИЗРЕЗАТЬ,,3,ИЗРЕЗАТЬ,V,,126326-V,V
140496,205063,140496-V-205063,ПРИЛАГАТЬ,,3,ПРИЛАГАТЬ,V,,140496-V,V
140496,162679,140496-V-162679,ПРИЛОЖИТЬ,,4,ПРИЛОЖИТЬ,V,,140496-V,V
116221,135721,116221-V-135721,ВЫТРЯХНУТЬ,,3,ВЫТРЯХНУТЬ,V,,116221-V,V
116221,186019,116221-V-186019,ВЫТРЯСТИ,,1,ВЫТРЯСТИ,V,,116221-V,V
116221,135720,116221-V-135720,ВЫТРЯХИВАТЬ,,3,ВЫТРЯХИВАТЬ,V,,116221-V,V
137950,202931,137950-V-202931,ЛИДИРОВАТЬ,,1,ЛИДИРОВАТЬ,V,,137950-V,V
137950,189457,137950-V-189457,ПЕРВЕНСТВОВАТЬ,,1,ПЕРВЕНСТВОВАТЬ,V,,137950-V,V
4659,749161,4659-V-749161,ОПЛАТИТЬ ЖКХ,ОПЛАТИТЬ,1,ОПЛАТИТЬ ЖКХ,V,V N,4659-V,VG
4659,749831,4659-V-749831,ПЛАТИТЬ ЗА УСЛУГА ЖКХ,ПЛАТИТЬ,1,ПЛАТИТЬ ЗА УСЛУГИ ЖКХ,V,V Prep N N,4659-V,VG
4659,749163,4659-V-749163,ОПЛАТИТЬ ЖИЛИЩНО-КОММУНАЛЬНЫЙ УСЛУГА,ОПЛАТИТЬ,1,ОПЛАТИТЬ ЖИЛИЩНО-КОММУНАЛЬНЫЕ УСЛУГИ,V,V Adj N,4659-V,VG
4659,749165,4659-V-749165,ПЛАТИТЬ ЗА КОММУНАЛЬНЫЙ УСЛУГА,ПЛАТИТЬ,1,ПЛАТИТЬ ЗА КОММУНАЛЬНЫЕ УСЛУГИ,V,V Prep Adj N,4659-V,VG
4659,749158,4659-V-749158,ПЛАТИТЬ ЗА ЖКХ,ПЛАТИТЬ,1,ПЛАТИТЬ ЗА ЖКХ,V,V Prep N,4659-V,VG
4659,749164,4659-V-749164,ОПЛАТИТЬ КОММУНАЛЬНЫЙ УСЛУГА,ОПЛАТИТЬ,1,ОПЛАТИТЬ КОММУНАЛЬНЫЕ УСЛУГИ,V,V Adj N,4659-V,VG
4659,749159,4659-V-749159,ПЛАТИТЬ ЗА ЖКУ,ПЛАТИТЬ,1,ПЛАТИТЬ ЗА ЖКУ,V,V Prep N,4659-V,VG
4659,749166,4659-V-749166,ПЛАТИТЬ ЗА ЖИЛИЩНО-КОММУНАЛЬНЫЙ УСЛУГА,ПЛАТИТЬ,1,ПЛАТИТЬ ЗА ЖИЛИЩНО-КОММУНАЛЬНЫЕ УСЛУГИ,V,V Prep Adj N,4659-V,VG
3844,164023,3844-V-164023,ОСУШИТЬ,,2,ОСУШИТЬ,V,,3844-V,V
3844,164024,3844-V-164024,ОСУШАТЬ,,2,ОСУШАТЬ,V,,3844-V,V
111606,155216,111606-V-155216,ТРАВИТЬ,,2,ТРАВИТЬ,V,,111606-V,V
111606,708236,111606-V-708236,ПОТРАВИТЬ,,2,ПОТРАВИТЬ,V,,111606-V,V
111606,145665,111606-V-145665,ОТРАВЛЯТЬ,,2,ОТРАВЛЯТЬ,V,,111606-V,V
111606,720007,111606-V-720007,ОТРАВИТЬ ЯДОВИТЫЙ ВЕЩЕСТВО,ОТРАВИТЬ,1,ОТРАВИТЬ ЯДОВИТЫМ ВЕЩЕСТВОМ,V,V Adj N,111606-V,VG
111606,145658,111606-V-145658,ОТРАВИТЬ,,2,ОТРАВИТЬ,V,,111606-V,V
150723,729103,150723-V-729103,СВЕСТИ СЧЕТЫ,СВЕСТИ,1,СВЕСТИ СЧЕТЫ,V,V N,150723-V,VG
150723,729104,150723-V-729104,СВОДИТЬ СЧЕТЫ,СВОДИТЬ,1,СВОДИТЬ СЧЕТЫ,V,V N,150723-V,VG
150723,178361,150723-V-178361,СЧИТАТЬСЯ,,5,СЧИТАТЬСЯ,V,,150723-V,V
150723,760855,150723-V-760855,ПОСЧИТАТЬСЯ,,3,ПОСЧИТАТЬСЯ,V,,150723-V,V
8529,740901,8529-V-740901,ЦЕНА УМЕНЬШИТЬСЯ,УМЕНЬШИТЬСЯ,1,ЦЕНЫ УМЕНЬШИЛИСЬ,V,N V,8529-V,VG
8529,721394,8529-V-721394,ЦЕНА УПАСТЬ,УПАСТЬ,1,ЦЕНЫ УПАЛИ,V,N V,8529-V,VG
8529,740900,8529-V-740900,ЦЕНА СНИЗИТЬСЯ,СНИЗИТЬСЯ,1,ЦЕНЫ СНИЗИЛИСЬ,V,N V,8529-V,VG
8529,136817,8529-V-136817,ДЕШЕВЕТЬ,,1,ДЕШЕВЕТЬ,V,,8529-V,V
8529,147506,8529-V-147506,ПОДЕШЕВЕТЬ,,1,ПОДЕШЕВЕТЬ,V,,8529-V,V
8529,212101,8529-V-212101,ПОНИЖАТЬ ЦЕНА,ПОНИЖАТЬ,1,ПОНИЖАТЬ ЦЕНЫ,V,V N,8529-V,VG
8529,740903,8529-V-740903,ПОНИЗИТЬСЯ ЦЕНА,ПОНИЗИТЬСЯ,1,ПОНИЗИЛИСЬ ЦЕНЫ,V,V N,8529-V,VG
8529,740898,8529-V-740898,ПОНИЗИТЬСЯ В ЦЕНА,ПОНИЗИТЬСЯ,1,ПОНИЗИТЬСЯ В ЦЕНЕ,V,V Prep N,8529-V,VG
8529,115612,8529-V-115612,ПОНИЗИТЬ ЦЕНА,ПОНИЗИТЬ,1,ПОНИЗИТЬ ЦЕНЫ,V,V N,8529-V,VG
8529,732823,8529-V-732823,ПОТЕРЯТЬ В ЦЕНА,ПОТЕРЯТЬ,1,ПОТЕРЯТЬ В ЦЕНЕ,V,V Prep N,8529-V,VG
8529,754923,8529-V-754923,СНИЖАТЬ СТОИМОСТЬ,СНИЖАТЬ,1,СНИЖАТЬ СТОИМОСТЬ,V,V N,8529-V,VG
8529,754924,8529-V-754924,СНИЖАТЬ ЦЕНА,СНИЖАТЬ,1,СНИЖАТЬ ЦЕНУ,V,V N,8529-V,VG
8529,740904,8529-V-740904,СНИЗИТЬСЯ ЦЕНА,СНИЗИТЬСЯ,1,СНИЗИЛИСЬ ЦЕНЫ,V,V N,8529-V,VG
8529,754922,8529-V-754922,СНИЗИТЬ СТОИМОСТЬ,СНИЗИТЬ,1,СНИЗИТЬ СТОИМОСТЬ,V,V N,8529-V,VG
8529,740897,8529-V-740897,СНИЗИТЬСЯ В ЦЕНА,СНИЗИТЬСЯ,1,СНИЗИТЬСЯ В ЦЕНЕ,V,V Prep N,8529-V,VG
8529,116451,8529-V-116451,СНИЗИТЬ ЦЕНА,СНИЗИТЬ,1,СНИЗИТЬ ЦЕНУ,V,V N,8529-V,VG
8529,740895,8529-V-740895,СТАНОВИТЬСЯ ДЕШЕВЛЕ,СТАНОВИТЬСЯ,1,СТАНОВИТЬСЯ ДЕШЕВЛЕ,V,V Adj,8529-V,VG
8529,740894,8529-V-740894,СТАТЬ ДЕШЕВЛЕ,СТАТЬ,1,СТАТЬ ДЕШЕВЛЕ,V,V Adj,8529-V,VG
8529,700813,8529-V-700813,УДЕШЕВЛЯТЬСЯ,,1,УДЕШЕВЛЯТЬСЯ,V,,8529-V,V
8529,740951,8529-V-740951,УМЕНЬШАТЬ ЦЕНА,УМЕНЬШАТЬ,1,УМЕНЬШАТЬ ЦЕНЫ,V,V N,8529-V,VG
8529,740905,8529-V-740905,УМЕНЬШИТЬСЯ ЦЕНА,УМЕНЬШИТЬСЯ,1,УМЕНЬШИЛИСЬ ЦЕНЫ,V,V N,8529-V,VG
8529,740896,8529-V-740896,УМЕНЬШИТЬСЯ В ЦЕНА,УМЕНЬШИТЬСЯ,1,УМЕНЬШИТЬСЯ В ЦЕНЕ,V,V Prep N,8529-V,VG
8529,740952,8529-V-740952,УМЕНЬШИТЬ ЦЕНА,УМЕНЬШИТЬ,1,УМЕНЬШИТЬ ЦЕНЫ,V,V N,8529-V,VG
8529,740902,8529-V-740902,УПАСТЬ ЦЕНА,УПАСТЬ,1,УПАЛИ ЦЕНЫ,V,V N,8529-V,VG
8529,732307,8529-V-732307,УПАСТЬ В ЦЕНА,УПАСТЬ,1,УПАСТЬ В ЦЕНЕ,V,V Prep N,8529-V,VG
8529,740899,8529-V-740899,ЦЕНА ПОНИЗИТЬСЯ,ПОНИЗИТЬСЯ,1,ЦЕНЫ ПОНИЗИЛИСЬ,V,N V,8529-V,VG
120458,150975,120458-V-150975,РАЗНЕСТИ,,5,РАЗНЕСТИ,V,,120458-V,V
120458,150986,120458-V-150986,РАЗНОСИТЬ,,3,РАЗНОСИТЬ,V,,120458-V,V
128351,149624,128351-V-149624,ПРОБОДАТЬ,,1,ПРОБОДАТЬ,V,,128351-V,V
140719,190475,140719-V-190475,РАСКАЧАТЬ,,4,РАСКАЧАТЬ,V,,140719-V,V
140719,150700,140719-V-150700,РАЗБОЛТАТЬ,,4,РАЗБОЛТАТЬ,V,,140719-V,V
140719,167878,140719-V-167878,РАСШАТЫВАТЬ,,3,РАСШАТЫВАТЬ,V,,140719-V,V
140719,150688,140719-V-150688,РАЗБАЛТЫВАТЬ,,4,РАЗБАЛТЫВАТЬ,V,,140719-V,V
140719,167877,140719-V-167877,РАСШАТАТЬ,,3,РАСШАТАТЬ,V,,140719-V,V
140719,190476,140719-V-190476,РАСКАЧИВАТЬ,,4,РАСКАЧИВАТЬ,V,,140719-V,V
129800,179539,129800-V-179539,ВЗДРЕМНУТЬ,,1,ВЗДРЕМНУТЬ,V,,129800-V,V
123908,167490,123908-V-167490,ГАЛЛЮЦИНИРОВАТЬ,,1,ГАЛЛЮЦИНИРОВАТЬ,V,,123908-V,V
125769,171057,125769-V-171057,ВПИХИВАТЬ,,3,ВПИХИВАТЬ,V,,125769-V,V
125769,171056,125769-V-171056,ВПИХНУТЬ,,3,ВПИХНУТЬ,V,,125769-V,V
125769,171055,125769-V-171055,ВТИСКИВАТЬ,,1,ВТИСКИВАТЬ,V,,125769-V,V
125769,171054,125769-V-171054,ВТИСНУТЬ,,1,ВТИСНУТЬ,V,,125769-V,V
115965,134996,115965-V-134996,ВПИТЫВАТЬСЯ,,1,ВПИТЫВАТЬСЯ,V,,115965-V,V
115965,134995,115965-V-134995,ВПИТАТЬСЯ,,1,ВПИТАТЬСЯ,V,,115965-V,V
9588,714340,9588-V-714340,ВЫСТУПАТЬ НА КОНЦЕРТ,ВЫСТУПАТЬ,1,ВЫСТУПАТЬ НА КОНЦЕРТЕ,V,V Prep N,9588-V,VG
9588,714341,9588-V-714341,ВЫСТУПИТЬ НА КОНЦЕРТ,ВЫСТУПИТЬ,1,ВЫСТУПИТЬ НА КОНЦЕРТЕ,V,V Prep N,9588-V,VG
9588,172753,9588-V-172753,ДАТЬ КОНЦЕРТ,ДАТЬ,1,ДАТЬ КОНЦЕРТ,V,V N,9588-V,VG
9588,679484,9588-V-679484,ВЫСТУПАТЬ С КОНЦЕРТ,ВЫСТУПАТЬ,1,ВЫСТУПАТЬ С КОНЦЕРТОМ,V,V Prep N,9588-V,VG
9588,679483,9588-V-679483,ДАВАТЬ КОНЦЕРТ,ДАВАТЬ,1,ДАВАТЬ КОНЦЕРТ,V,V N,9588-V,VG
9588,714338,9588-V-714338,ВЫСТУПИТЬ С КОНЦЕРТ,ВЫСТУПИТЬ,1,ВЫСТУПИТЬ С КОНЦЕРТОМ,V,V Prep N,9588-V,VG
9588,172752,9588-V-172752,КОНЦЕРТИРОВАТЬ,,1,КОНЦЕРТИРОВАТЬ,V,,9588-V,V
117932,149606,117932-V-149606,ПРОБИРАТЬСЯ,,1,ПРОБИРАТЬСЯ,V,,117932-V,V
117932,741530,117932-V-741530,С ТРУД ПРОНИКНУТЬ,ПРОНИКНУТЬ,1,С ТРУДОМ ПРОНИКНУТЬ,V,Prep N V,117932-V,VG
117932,149633,117932-V-149633,ПРОБРАТЬСЯ,,1,ПРОБРАТЬСЯ,V,,117932-V,V
121061,726008,121061-V-726008,РАСТЯНУТЬ ПО ВРЕМЯ,РАСТЯНУТЬ,1,РАСТЯНУТЬ ПО ВРЕМЕНИ,V,V Prep N,121061-V,VG
121061,726009,121061-V-726009,РАСТЯГИВАТЬ ПО ВРЕМЯ,РАСТЯГИВАТЬ,1,РАСТЯГИВАТЬ ПО ВРЕМЕНИ,V,V Prep N,121061-V,VG
121061,162308,121061-V-162308,РАСТЯГИВАТЬСЯ,,5,РАСТЯГИВАТЬСЯ,V,,121061-V,V
121061,163419,121061-V-163419,РАСТЯНУТЬ,,2,РАСТЯНУТЬ,V,,121061-V,V
116173,145520,116173-V-145520,ОТЛОЖИТЬ,,4,ОТЛОЖИТЬ,V,,116173-V,V
116173,140094,116173-V-140094,КЛАСТЬ,,4,КЛАСТЬ,V,,116173-V,V
116173,145421,116173-V-145421,ОТКЛАДЫВАТЬ,,4,ОТКЛАДЫВАТЬ,V,,116173-V,V
120185,138902,120185-V-138902,ЗУДЕТЬ,,1,ЗУДЕТЬ,V,,120185-V,V
120185,138905,120185-V-138905,ЗУДИТЬ,,1,ЗУДИТЬ,V,,120185-V,V
120185,207705,120185-V-207705,ИСПЫТЫВАТЬ ЗУД,ИСПЫТЫВАТЬ,1,ИСПЫТЫВАТЬ ЗУД,V,V N,120185-V,VG
134174,729897,134174-V-729897,ЧИНИТЬ ПРОИЗВОЛ,ЧИНИТЬ,1,ЧИНИТЬ ПРОИЗВОЛ,V,V N,134174-V,VG
134174,743779,134174-V-743779,ЧТО ХОТЕТЬ ТО И ВОРОТИТЬ,ХОТЕТЬ,1,"ЧТО ХОТЯТ, ТО И ВОРОТЯТ",V,Conj V Prtc Conj V,134174-V,VG
150069,215578,150069-V-215578,ОБОЗРЕВАТЬ,,3,ОБОЗРЕВАТЬ,V,,150069-V,V
150069,144200,150069-V-144200,ОБОЗРЕТЬ,,3,ОБОЗРЕТЬ,V,,150069-V,V
143777,168595,143777-V-168595,ВЫЕЗЖАТЬ,,6,ВЫЕЗЖАТЬ,V,,143777-V,V
143777,171151,143777-V-171151,ВЫЕХАТЬ,,5,ВЫЕХАТЬ,V,,143777-V,V
137320,187900,137320-V-187900,ОТСЛУЖИТЬ,,3,ОТСЛУЖИТЬ,V,,137320-V,V
137320,145654,137320-V-145654,ОТРАБОТАТЬ,,4,ОТРАБОТАТЬ,V,,137320-V,V
147492,190509,147492-V-190509,РАСКРУТИТЬ,,5,РАСКРУТИТЬ,V,,147492-V,V
147492,190510,147492-V-190510,РАСКРУЧИВАТЬ,,5,РАСКРУЧИВАТЬ,V,,147492-V,V
118862,170939,118862-V-170939,ОЖИВАТЬ,,2,ОЖИВАТЬ,V,,118862-V,V
118862,144597,118862-V-144597,ОЖИВИТЬСЯ,,2,ОЖИВИТЬСЯ,V,,118862-V,V
118862,144600,118862-V-144600,ОЖИВЛЯТЬСЯ,,2,ОЖИВЛЯТЬСЯ,V,,118862-V,V
118862,170938,118862-V-170938,ОЖИТЬ,,2,ОЖИТЬ,V,,118862-V,V
127237,174531,127237-V-174531,СУЖАТЬ,,2,СУЖАТЬ,V,,127237-V,V
127237,174532,127237-V-174532,СУЖИВАТЬ,,1,СУЖИВАТЬ,V,,127237-V,V
127237,742158,127237-V-742158,УМЕНЬШИТЬ ШИРИНА,УМЕНЬШИТЬ,1,УМЕНЬШИТЬ ШИРИНУ,V,V N,127237-V,VG
127237,742155,127237-V-742155,УМЕНЬШИТЬ В ШИРИНА,УМЕНЬШИТЬ,1,УМЕНЬШИТЬ В ШИРИНУ,V,V Prep N,127237-V,VG
127237,742157,127237-V-742157,УМЕНЬШАТЬ ШИРИНА,УМЕНЬШАТЬ,1,УМЕНЬШАТЬ ШИРИНУ,V,V N,127237-V,VG
127237,742156,127237-V-742156,УМЕНЬШАТЬ В ШИРИНА,УМЕНЬШАТЬ,1,УМЕНЬШАТЬ В ШИРИНУ,V,V Prep N,127237-V,VG
127237,174530,127237-V-174530,СУЗИТЬ,,2,СУЗИТЬ,V,,127237-V,V
113973,146436,113973-V-146436,ПЕРЕДАВАТЬ,,3,ПЕРЕДАВАТЬ,V,,113973-V,V
113973,146439,113973-V-146439,ПЕРЕДАТЬ,,3,ПЕРЕДАТЬ,V,,113973-V,V
125957,171465,125957-V-171465,СОГРЕШИТЬ,,1,СОГРЕШИТЬ,V,,125957-V,V
125957,200459,125957-V-200459,СОВЕРШИТЬ ГРЕХ,СОВЕРШИТЬ,1,СОВЕРШИТЬ ГРЕХ,V,V N,125957-V,VG
125957,200458,125957-V-200458,СОВЕРШАТЬ ГРЕХ,СОВЕРШАТЬ,1,СОВЕРШАТЬ ГРЕХ,V,V N,125957-V,VG
125957,200032,125957-V-200032,НАГРЕШИТЬ,,1,НАГРЕШИТЬ,V,,125957-V,V
125957,167535,125957-V-167535,ГРЕШИТЬ,,3,ГРЕШИТЬ,V,,125957-V,V
111627,146830,111627-V-146830,ПЕРЕЧЕРЧИВАТЬ,,3,ПЕРЕЧЕРЧИВАТЬ,V,,111627-V,V
111627,154660,111627-V-154660,СЧЕРТИТЬ,,1,СЧЕРТИТЬ,V,,111627-V,V
111627,751403,111627-V-751403,СКОПИРОВАТЬ ЧЕРТЕЖ,СКОПИРОВАТЬ,1,СКОПИРОВАТЬ ЧЕРТЕЖ,V,V N,111627-V,VG
111627,154661,111627-V-154661,СЧЕРЧИВАТЬ,,1,СЧЕРЧИВАТЬ,V,,111627-V,V
111627,146826,111627-V-146826,ПЕРЕЧЕРТИТЬ,,3,ПЕРЕЧЕРТИТЬ,V,,111627-V,V
118595,137796,118595-V-137796,ЗАВЛЕКАТЬ,,1,ЗАВЛЕКАТЬ,V,,118595-V,V
118595,138136,118595-V-138136,ЗАМАНИВАТЬ,,1,ЗАМАНИВАТЬ,V,,118595-V,V
118595,138137,118595-V-138137,ЗАМАНИТЬ,,1,ЗАМАНИТЬ,V,,118595-V,V
118595,148159,118595-V-148159,ПОМАНИТЬ,,3,ПОМАНИТЬ,V,,118595-V,V
118595,162018,118595-V-162018,ТЯНУТЬ,,3,ТЯНУТЬ,V,,118595-V,V
118595,754313,118595-V-754313,ТЯНУТЬ КАК МАГНИТ,ТЯНУТЬ,1,ТЯНУТЬ КАК МАГНИТОМ,V,V Conj N,118595-V,VG
118595,137797,118595-V-137797,ЗАВЛЕЧЬ,,1,ЗАВЛЕЧЬ,V,,118595-V,V
117523,105273,117523-V-105273,КОНТРАТАКОВАТЬ,,1,КОНТРАТАКОВАТЬ,V,,117523-V,V
7660,211002,7660-V-211002,ПОДЛЕЖАТЬ РАССМОТРЕНИЕ В СУД,ПОДЛЕЖАТЬ,1,ПОДЛЕЖАТЬ РАССМОТРЕНИЮ В СУДЕ,V,V N Prep N,7660-V,VG
131736,183541,131736-V-183541,ИЗОБИЛОВАТЬ,,1,ИЗОБИЛОВАТЬ,V,,131736-V,V
106897,149667,106897-V-149667,ПРОВЕСТИ АНАЛИЗ,ПРОВЕСТИ,1,ПРОВЕСТИ АНАЛИЗ,V,V N,106897-V,VG
106897,132954,106897-V-132954,АНАЛИЗИРОВАТЬ,,2,АНАЛИЗИРОВАТЬ,V,,106897-V,V
120139,161204,120139-V-161204,РАСКЛАССИФИЦИРОВАТЬ,,1,РАСКЛАССИФИЦИРОВАТЬ,V,,120139-V,V
120139,161203,120139-V-161203,КЛАССИФИЦИРОВАТЬ,,1,КЛАССИФИЦИРОВАТЬ,V,,120139-V,V
115551,145772,115551-V-145772,ОТСТРЕЛИВАТЬ,,2,ОТСТРЕЛИВАТЬ,V,,115551-V,V
115551,145773,115551-V-145773,ОТСТРЕЛИТЬ,,2,ОТСТРЕЛИТЬ,V,,115551-V,V
140492,138679,140492-V-138679,ЗАЩИТИТЬ,,4,ЗАЩИТИТЬ,V,,140492-V,V
140492,183340,140492-V-183340,ЗАЩИТИТЬСЯ,,3,ЗАЩИТИТЬСЯ,V,,140492-V,V
140492,712408,140492-V-712408,ЗАЩИЩАТЬСЯ,,3,ЗАЩИЩАТЬСЯ,V,,140492-V,V
