definition,id,part_of_speech,ruthes_name
,145529-N,N,ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ ОРГАНА
"захватить силой, например в ходе боевых действий",115073-N,N,ЗАВОЕВАТЬ В ХОДЕ ВОЙНЫ
,133599-N,N,ТАМИЛЫ
"получать, приготавливать посредством термической обработки",129701-N,N,ВАРКА (ТЕХНОЛОГИЧЕСКИЙ ПРОЦЕСС)
,105431-N,N,ЛИВАНЦЫ
"углубление в стене, обычно для помещения в нём чего-либо",109934-N,N,НИША В СТЕНЕ
,4262-N,N,ОПЕРНЫЙ СПЕКТАКЛЬ
обращаться к нескольким лицам с вопросом или несколькими вопросами с целью получения определённых сведений,124530-N,N,"ОПРОС, ОПРАШИВАНИЕ"
,105222-N,N,АДЗЬВА
"усаживать; просить, заставлять или давать возможность сесть, занять место сидя",120166-N,N,"САЖАТЬ, УСАЖИВАТЬ"
"рентгенологическое исследование, заключающееся в фотографировании флюоресцентного экрана, на который спроецировано рентгенологическое изображение",9766-N,N,ФЛЮОРОГРАФИЧЕСКОЕ ОБСЛЕДОВАНИЕ
"японская борьба, произошедшая из джиу-джитсу, олимпийский вид спорта",109649-N,N,ДЗЮДО
,108174-N,N,ВАЛЕНКИ
,126342-N,N,ПРАВОСЛАВНЫЙ МОНАХ
"привести в порядок, рассортировав, отделив одно от другого",112070-N,N,РАЗОБРАТЬ (НАВЕСТИ ПОРЯДОК)
,4987-N,N,"КРАСИТЕЛЬ, КРАСЯЩИЙ АГЕНТ"
,102003-N,N,ТИРАСПОЛЬ
,8832-N,N,ЧАСОВАЯ ПРОМЫШЛЕННОСТЬ
инженерное искусство,154190-N,N,ИНЖЕНЕРНОЕ ДЕЛО
синдром повышения артериального давления,9407-N,N,ГИПЕРТОНИЧЕСКАЯ БОЛЕЗНЬ
,2982-N,N,МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ
,102994-N,N,ПИРИТА
"ящик, разделённый на отсеки, с набором шрифта, литерами",142874-N,N,НАБОРНАЯ КАССА
,147927-N,N,ВЕТЕРАН ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ
,103731-N,N,НЮРНБЕРГ
"отклонение от нормы, отступление от общепринятого в поведении",130349-N,N,ОТКЛОНЕНИЕ В ПОВЕДЕНИИ
житель Казахстана или выходец из этой страны.,139007-N,N,КАЗАХСТАНЦЫ
,111447-N,N,РАПСОДИЯ
,112494-N,N,АРАБИСТИКА
,140583-N,N,НЕТРАДИЦИОННЫЙ
,118611-N,N,"БЕЗУДЕРЖНЫЙ, НЕУДЕРЖИМЫЙ"
,138391-N,N,ОЧИСТИТЬ ВЕРХНИЙ СЛОЙ
,139383-N,N,КОЛЮЧАЯ ПРОВОЛОКА
"передняя, открытая часть сцены, выдвинутая в зрительный зал",124908-N,N,АВАНСЦЕНА
,152376-N,N,ПЕШИЙ ПОХОД
повозка на полозьях,111080-N,N,САННАЯ ПОВОЗКА
,101531-N,N,КУРСКАЯ ОБЛАСТЬ
,5161-N,N,ОНКОЛОГИЯ
,143391-N,N,ФИНАНСОВОЕ НАРУШЕНИЕ
,137047-N,N,ТОЛСТАЯ КИШКА
,138403-N,N,АВТОМОБИЛЬ ГАЗ
,135467-N,N,"УПРОЧНИТЬ (СДЕЛАТЬ ПРОЧНЕЕ, КРЕПЧЕ)"
,918-N,N,БИОТЕХНОЛОГИЯ
,120806-N,N,ГЛАДЬ ВОДЫ
"результат такого действия, выдумка, литературное или музыкальное произведение, созданное кем-либо",107667-N,N,"СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО)"
"заставить вести себя тихо, прекратить шум, крик, плач и т. п.; успокоить, унять",123532-N,N,"УСПОКОИТЬ, УТИХОМИРИТЬ"
,3035-N,N,БОГОРОДИЦА
,123956-N,N,ГОРОДСКАЯ СОБСТВЕННОСТЬ
,102403-N,N,КРАСНОКАМСК
"парная женская половая железа у млекопитающих животных и человека, расположенная в полости малого таза по обе стороны от матки, в которой созревают яйцеклетки",110079-N,N,ЯИЧНИК
,106060-N,N,КАРШИ
,4860-N,N,СЛУЖИТЕЛЬ КУЛЬТА
гражданин или уроженец Югославии,106292-N,N,ЮГОСЛАВЫ
способность приводить к нужным результатам; действенность,119600-N,N,ЭФФЕКТИВНЫЙ
,102207-N,N,НОВГОРОД
,125407-N,N,БИОГРАФ (СОСТАВИТЕЛЬ БИОГРАФИИ)
,125142-N,N,СЕВЕРНЫЙ ФЛОТ
,136717-N,N,ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ
,107165-N,N,ВОРОТА (ВХОД)
"тот, кто участвует в оккупации",115379-N,N,ОККУПАНТ
"место, здание, где содержатся лица, приговорённые к заключению, к лишению свободы",143377-N,N,ТЮРЬМА (МЕСТО ОТБЫВАНИЯ НАКАЗАНИЯ)
,147337-N,N,СЕРГИЕВО-ПОСАДСКИЙ РАЙОН
,131365-N,N,ПОГРЯЗНУТЬ В НЕПРИЯТНОСТЯХ
,106875-N,N,"ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО"
,144320-N,N,ХУРМА (РАСТЕНИЕ)
,154933-N,N,МИКРОВОЛНОВОЕ ИЗЛУЧЕНИЕ
,3459-N,N,КОРРОЗИЯ
,9804-N,N,КАПЕЛЬНИЦА
,128099-N,N,ПОЛТИННИК (МОНЕТА В 50 КОПЕЕК)
"геометрическое тело, ограниченной замкнутой боковой поверхностью и двумя пересекающими ее поверхностями (основаниями)",107035-N,N,ЦИЛИНДР (ГЕОМЕТРИЧЕСКОЕ ТЕЛО)
,125872-N,N,СВЕСТИ (ОЧИСТИТЬ)
,120359-N,N,КОЛЮЧКА
,153673-N,N,ГОРЛОВОЕ ПЕНИЕ
,112701-N,N,САНДАЛ (ДЕРЕВО)
,145507-N,N,ОУЛУ
,101058-N,N,ЧАР
,5014-N,N,ТУЛУП
,7612-N,N,ПАРЛАМЕНТСКИЕ СЛУШАНИЯ
"переставать гореть или светиться, гаснуть",113647-N,N,ГАСНУТЬ (ПЕРЕСТАВАТЬ ГОРЕТЬ)
,104285-N,N,КОТ-ДИВУАР
повторяющееся в один и тот же сезон года относительно длительное и значительное увеличение водности реки,121280-N,N,ПОЛОВОДЬЕ
,1033-N,N,ОПТОВАЯ ТОРГОВЛЯ
,102717-N,N,ДОРОГОБУЖ
,151695-N,N,ЖИВОЙ ЩИТ
,143651-N,N,ВАЙНАХИ
,6960-N,N,ПРОМЫШЛЕННОЕ СТРОИТЕЛЬСТВО
,2832-N,N,ЮВЕЛИРНОЕ ИЗДЕЛИЕ
,130898-N,N,АММИАЧНАЯ СЕЛИТРА
,111103-N,N,МАСЛЯНАЯ КРАСКА
,147039-N,N,ОСВЕТЛИТЬ (СДЕЛАТЬ СВЕТЛЫМ)
,114728-N,N,РАССАДИТЬ ПО МЕСТАМ
,152667-N,N,ПОДТАНЦОВКА
"возражать, противоречить кому-либо",117051-N,N,"ПЕРЕЧИТЬ, ПРОТИВОРЕЧИТЬ"
,4756-N,N,ЯЩУР
"мешкать, медлить, не торопиться с осуществлением чего-либо; замедлять, долго не кончать, медлительно делать что-либо",131616-N,N,ЗАТЯНУТЬ ПО ВРЕМЕНИ
"воинская часть, отряд или группа, являющиеся личной охраной главы государства, военачальника и т. п.",3728-N,N,ГВАРДИЯ
,117779-N,N,ШАХТНАЯ КЛЕТЬ
,114814-N,N,СОБСТВЕННЫЙ КОРРЕСПОНДЕНТ
,111066-N,N,"НАКЛОНИТЬСЯ, СКЛОНИТЬСЯ"
,130499-N,N,"ВЫРУБКА, МЕСТО ВЫРУБКИ"
,112003-N,N,"БРЫЗГАТЬ, РАЗБРАСЫВАТЬ БРЫЗГИ"
,137645-N,N,ТОЛКОВЫЙ СЛОВАРЬ
,115745-N,N,"ВЫЛИТЬСЯ, ВЫТЕЧЬ"
,3057-N,N,ЗВАНИЕ
сравнительно небольшое крестьянское поселение,4169-N,N,ДЕРЕВНЯ
,137224-N,N,ПРИЛОЖИТЬ (ДОБАВИТЬ)
"детская игра, представляющая собою набор деталей, из которых можно собирать различные сооружения",111518-N,N,ДЕТСКИЙ КОНСТРУКТОР
,147147-N,N,ЛИВЕРПУЛЬЦЫ
,121765-N,N,КЕНТ (ГРАФСТВО АНГЛИИ)
,108081-N,N,ЖАВОРОНОК
соперничество за ограниченный ресурс между кем-либо или чем-либо (''обычно — в экономической области''),567-N,N,КОНКУРЕНЦИЯ
,2067-N,N,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
,108175-N,N,ВАЛЕРИАНА
"возникающая в процессе горения летучая субстанция, которая распространяется в воздухе, мешая видеть и дышать; множество мелких твёрдых частиц, находящихся во взвешенном состоянии в воздухе или другом газе, обычно выделяющихся в процессе горения и делающих воздух непрозрачным",111878-N,N,ДЫМ
,119127-N,N,"РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ)"
,119035-N,N,"ВОЗВЫШАТЬСЯ, ВЫСИТЬСЯ"
,101933-N,N,ЛИАНОЗОВО
,126771-N,N,ДОМЕННЫЙ ЦЕХ
,151843-N,N,ТРУДНЫЙ ПО ХАРАКТЕРУ
,134736-N,N,САНТИМЕНТЫ
,125986-N,N,ОТПУСКНИК
,141175-N,N,"РЕВОЛЮЦИЯ В СФЕРЕ, ОБЛАСТИ"
"внутренний орган позвоночных животных, в том числе и человека и некоторых беспозвоночных, находящийся в брюшной полости (полости живота), который вырабатывает желчь, а также играет важную роль в общем обмене веществ организма",10197-N,N,ПЕЧЕНЬ (ОРГАН)
"медленный, спокойный, неторопливый",128653-N,N,"НЕТОРОПЛИВЫЙ, НЕСПЕШНЫЙ"
,100939-N,N,СЫДА
,9873-N,N,МЕДИЦИНСКОЕ ЗАКЛЮЧЕНИЕ
,128989-N,N,САМОБИЧЕВАНИЕ
"прославленный, пользующийся очень большой известностью",114898-N,N,ЗНАМЕНИТЫЙ
,102140-N,N,НАМАНГАНСКАЯ ОБЛ. УЗБЕКИСТАНА
,115427-N,N,ОРДИНАТОР
Область распространения чего-либо,149781-N,N,АРЕАЛ РАСПРОСТРАНЕНИЯ
"коммерческое предприятие, торговое или промышленное объединение предпринимателей",847-N,N,КОМПАНИЯ
,111839-N,N,ВЫКИПАНИЕ ЖИДКОСТИ
,145465-N,N,ПРИСОСКА (ПРИСПОСОБЛЕНИЕ)
"развлекательный аттракцион, вращающаяся площадка с сиденьями в виде лошадок, лодок и т. п. для катанья",124661-N,N,КАРУСЕЛЬ (АТТРАКЦИОН)
"выступ, бордюр, окаймляющий край тротуара, дороги и т. п.",120678-N,N,БОРДЮР ДОРОГИ
,148547-N,N,АВТОМОБИЛЬ МАЗДА
столовый прибор в виде неглубокого сосуда на рукояти для еды или зачерпывания жидких или сыпучих продуктов,5281-N,N,ЛОЖКА
привести в состояние нервного подъёма; взволновать,115104-N,N,ВОЗБУДИТЬ (ПРИВЕСТИ В ВОЗБУЖДЕННОЕ СОСТОЯНИЕ)
"вырез в одежде для шеи, а также пришитая к этому вырезу и облегающая шею полоса ткани (воротник)",107812-N,N,ВОРОТ ОДЕЖДЫ
"письменная принадлежность в виде удлиненного стержня, на конце которого находится перо или другое пишущее приспособление",110938-N,N,РУЧКА ДЛЯ ПИСЬМА
"cовокупность ароматических, вкусовых свойств чего-либо",146461-N,N,АРОМАТИЧЕСКИЙ БУКЕТ
"давать, поднеся",133734-N,N,ПОДАТЬ В РУКИ
"проделать сквозное отверстие, дыру, углубление; проломать",112429-N,N,ПРОБИВАНИЕ ОТВЕРСТИЯ
,141307-N,N,ПЕЧАТНЫЙ МАКЕТ
"нарушать авторские права, незаконно используя чужую интеллектуальную собственность",129442-N,N,НЕЗАКОННОЕ КОПИРОВАНИЕ
,145197-N,N,ОБЩЕСТВО КРАСНОГО КРЕСТА
,9923-N,N,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ
,9333-N,N,ЭНДОСКОПИЧЕСКАЯ АППАРАТУРА
,116698-N,N,ЗАЧЕРКНУТЬ
"двигаться по окружности, кругообразно, вертеться кругом, описывать круговые движения",115718-N,N,"КРУЖИТЬСЯ, СОВЕРШАТЬ КРУГОВЫЕ ДВИЖЕНИЯ"
,4696-N,N,ЭКОЛОГИЧЕСКОЕ ПРАВОНАРУШЕНИЕ
,1700-N,N,ВНЕШНЕЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ
,361-N,N,ПШЕНИЦА
"то, что является залогом в какой-либо игре и может быть проиграно",115452-N,N,ИГРОВАЯ СТАВКА
,124700-N,N,ЗАКОЛОТЬ ВОЛОСЫ
,7836-N,N,МОРСКАЯ ПЕХОТА
,118677-N,N,БЛАГОГОВЕТЬ
,145135-N,N,ТЕПЛОВАЯ ПУШКА
,143806-N,N,ВЕНЕЦИАНЦЫ
,139088-N,N,ПЛОХОЕ ВОСПИТАНИЕ
"то, что проиграно",145838-N,N,"ПРОИГРЫШ, ПРОИГРАННАЯ СУММА"
,116250-N,N,ЗАПРУДА
"тюркоязычный народ, один из крупнейших коренных народов Дагестана, компактно проживают также в Северной Осетии и Чечне",106152-N,N,КУМЫКИ
"в суде — сторона, представляющая интересы обвиняемого, ответчика",148391-N,N,СТОРОНА ЗАЩИТЫ
,141920-N,N,ПРОМЫШЛЕННО-ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО
,138051-N,N,ГУЛАГ
,132127-N,N,"ЛЕПНИНА, ЛЕПНОЕ УКРАШЕНИЕ"
,122201-N,N,ПЛАНЕТА НЕПТУН
,125141-N,N,МОРЯК-БАЛТИЕЦ
"фотографическое изображение, в котором относительное распределение яркостей (на чёрно-белом изображении) или цветов (на цветном изображении) соответствует их распределению в объекте съёмки",115402-N,N,ПОЗИТИВ (ФОТОГРАФИЧЕСКОЕ ИЗОБРАЖЕНИЕ)
"тот, кто выдвигает собственную кандидатуру на каких-либо выборах",153258-N,N,САМОВЫДВИЖЕНЕЦ
"загородный дом, как правило для летнего проживания и отдыха городских жителей",7045-N,N,ЗАГОРОДНАЯ ДАЧА
,107069-N,N,КОРОБКА ЗДАНИЯ
,136015-N,N,МЯГКАЯ ПОРНОГРАФИЯ
,120463-N,N,ФИБРА
,150070-N,N,СТАВИТЬ ОЦЕНКУ
,154646-N,N,КЛЕТКА (УЗОР)
"тот, кто провоцирует кого-либо к чему-либо, на совершение чего-либо; подстрекатель",128361-N,N,ПРОВОКАТОР (ПОДСТРЕКАТЕЛЬ)
,140518-N,N,ЗАСЕДАТЕЛЬ
,130977-N,N,ДУБЛИКАТ ДОКУМЕНТА
,7948-N,N,ХОККЕИСТ
,125952-N,N,ГРЕНКИ
,103043-N,N,ХЕРСОН
,144724-N,N,ДРАЖЕ (ЛЕКАРСТВЕННАЯ ФОРМА)
превосходящий обычную меру; чрезмерный,118490-N,N,ЧРЕЗМЕРНЫЙ
"разболтанность, недисциплинированность",128780-N,N,"РАСПУЩЕННЫЙ (НЕДИСЦИПЛИНИРОВАННЫЙ, СВОЕВОЛЬНЫЙ)"
,119607-N,N,ЗАПУЩЕННЫЙ (ЗАСТАРЕЛЫЙ)
,103083-N,N,ЗЛАТОУСТ
"действие отобрать, отбирать; насильственное изъятие кого-либо, чего-либо у кого-либо, чего-либо",114372-N,N,"ОТНЯТЬ, ЛИШИТЬ"
"точная запись звучания слова (также вообще передача звуков какого-либо языка или диалекта) буквами, условными знаками в отличие от существующей на этом языке системы письма, а также определенная система таких знаков; фонетическая запись",124824-N,N,ФОНЕТИЧЕСКАЯ ТРАНСКРИПЦИЯ
,114733-N,N,ХНА (КУСТАРНИКОВОЕ РАСТЕНИЕ)
"представитель (представительница) народности, составляющей коренное население Чукотки",106216-N,N,ЧУКЧИ
,111405-N,N,ПОТЕК (СЛЕД)
,104919-N,N,ЧАД
,103702-N,N,БЕРЛИН
,141357-N,N,ЗАРУБЕЖНОЕ ПРЕДСТАВИТЕЛЬСТВО
"сокращать расход, переставать тратить, начинать тратить меньше, чем раньше",112734-N,N,"ЭКОНОМИЯ, ЭКОНОМНОЕ РАСХОДОВАНИЕ"
,133865-N,N,СТАНЦИЯ ЮНЫХ НАТУРАЛИСТОВ
,104708-N,N,ВАШИНГТОН
,8641-N,N,ГЕЛЬМИНТОЗ
,9855-N,N,ЭЛЕКТРОКАРДИОГРАФИЧЕСКОЕ ИССЛЕДОВАНИЕ
насекомое отряда двукрылых (Musca),8818-N,N,МУХА
,153909-N,N,РАСПОЛОЖЕНИЕ СЛЕВА
,116736-N,N,ВЫПРАВИТЬ (ВЫПРЯМИТЬ)
,129100-N,N,СКОВАТЬ ДЕЙСТВИЯ
,124625-N,N,ИЗБАВИТЕЛЬ
мягкая круглая плоская шапочка без тульи и околыша,107762-N,N,БЕРЕТ (ГОЛОВНОЙ УБОР)
,140739-N,N,ДОСУДЕБНОЕ РАЗРЕШЕНИЕ СПОРОВ
,154840-N,N,СЕТЕВОЙ ФИЛЬТР (УДЛИНИТЕЛЬ)
"замкнутое движущееся полотно, являющееся основной частью некоторых транспортных устройств, механизмов",130743-N,N,ПОЛОТНО (УСТРОЙСТВО)
,155025-N,N,ЭНЕРГЕТИЧЕСКИЙ НАПИТОК
,116507-N,N,УГНЕТАТЬ
,119445-N,N,ОПУХЛЫЙ
,114340-N,N,ПРОРЕЗАТЬ ОТВЕРСТИЕ
,106180-N,N,УРАЛЬСКО-ЮКАГИРСКИЕ НАРОДЫ
,105630-N,N,"ЗЕЛЕНОГОРСК, КРАСНОЯРСКОГО КРАЯ"
уровень в какой-либо иерархии,143645-N,N,"КЛАСС, РАНГ (СТЕПЕНЬ, УРОВЕНЬ)"
"получать урожай, срезая, срывая или выкапывая полезные части сельскохозяйственных растений.",331-N,N,УБОРОЧНЫЕ РАБОТЫ
,106371-N,N,ДАЛЛАС
,141381-N,N,ПРЕСТУПЛЕНИЕ ПРОТИВ ИНТЕРЕСОВ СЛУЖБЫ
,103531-N,N,БРАЗИЛИЯ
"опуститься, целиком поместиться в жидкость, в сыпучее вещество, в газ",111767-N,N,ПОГРУЗИТЬСЯ В ЖИДКОСТЬ
"мост над дорогой или тоннель в месте пересечения с другой дорогой, оврагом, ущельем или другим естественным или искусственным препятствием",4263-N,N,ПУТЕПРОВОД
,100578-N,N,МУРОМ
"добавлять, класть в пищу (салат, суп) приправу (специи, соус и т. п.)",111887-N,N,ЗАПРАВИТЬ ПИЩУ
,140709-N,N,ОТГОРОДИТЬСЯ (ОБОСОБИТЬСЯ)
,103001-N,N,ХАБАРОВСК
,116202-N,N,ПРОСВЕТИТЬ ЛУЧАМИ
,115717-N,N,КРУЖИТЬ (ДВИГАТЬ КРУГООБРАЗНО)
"(о цвете) светлый и насыщенный, резко отличающийся от белого и серого",118355-N,N,ЯРКИЙ ПО ЦВЕТУ
"вид спорта, в котором соперники, противостоя друг другу (как правило, без оружия и без ударов) один на один, в рамках оговоренных правил проводят приёмы с целью поставить противника в проигрышное положение",109299-N,N,СПОРТИВНАЯ БОРЬБА
,514-N,N,МИКРОСХЕМА
,1516-N,N,ЛЬГОТНОЕ НАЛОГООБЛОЖЕНИЕ
,139471-N,N,УЖАСНУТЬСЯ (ИСПУГАТЬСЯ)
,115653-N,N,"ПЕРЕБРОСИТЬ (ПЕРЕМЕСТИТЬ, ОТПРАВИТЬ)"
"человек, которого посылают для исполнения различных простых поручений, курьер",121378-N,N,ПОСЫЛЬНЫЙ (РАБОТНИК)
,100210-N,N,АЛЕУТСКИЕ ОСТРОВА
,119620-N,N,ДВУСМЫСЛЕННЫЙ (НЕПРИЛИЧНЫЙ)
,128420-N,N,ПРОТЕКТОРАТ (ФОРМА ЗАВИСИМОСТИ ГОСУДАРСТВА)
,147166-N,N,ПЛАТЕЖНЫЙ ТЕРМИНАЛ
,111834-N,N,ФЕЛЬЕТОН
"отступление от общего правила, несоответствие обычному порядку вещей",147474-N,N,ИСКЛЮЧЕНИЕ ИЗ ПРАВИЛ
направление в искусстве во Франции XX века. Отличается использованием аллюзий и парадоксальных сочетаний форм.,139511-N,N,СЮРРЕАЛИЗМ
,141477-N,N,ПОДОБРАТЬ (УБРАТЬ)
"предмет, который, по суеверным представлениям, приносит его владельцу счастье, удачу, избавляет от болезней, опасности, беды",129251-N,N,"ТАЛИСМАН, ОБЕРЕГ"
,106262-N,N,ЧАМАЛАЛЫ
,153757-N,N,ПРОЙТИ (СПРАВИТЬСЯ)
,142362-N,N,СПИРТОСОДЕРЖАЩАЯ ПРОДУКЦИЯ
"результат, продукт перевода — текст на каком-то языке, соответствующий по смыслу тексту на другом языке и полученный путём его переосмысления и воспроизведения",121178-N,N,"ПЕРЕВОД, ТЕКСТ ПЕРЕВОДА"
,116298-N,N,ОЗАГЛАВИТЬ
"струнный ударно-клавишный музыкальный инструмент, разновидность фортепиано, в котором струны, дека и механическая часть расположены горизонтально, сам инструмент имеет крыловидную форму",109006-N,N,РОЯЛЬ
"единственный в своём роде, неповторимый, существующий в одном экземпляре",123531-N,N,УНИКАЛЬНЫЙ
,128916-N,N,УДАР ПО МЯЧУ
,138804-N,N,БРИТАНСКИЕ УНИВЕРСИТЕТЫ
,135524-N,N,ГОРОДСКАЯ ЭЛЕКТРИЧЕСКАЯ СЕТЬ
"наносить ущерб, вред, причинять зло",106548-N,N,ПРИЧИНЕНИЕ ВРЕДА
,126030-N,N,ДЕНАЦИОНАЛИЗАЦИЯ
,125561-N,N,ИЗОБРЕСТИ ВЕЛОСИПЕД
"предшествующий чему-либо основному, главному",121522-N,N,ПРЕДВАРИТЕЛЬНЫЙ (ПРЕДШЕСТВУЮЩИЙ)
химической обработкой превращать скрытое изображение на фотоматериале в видимое,128446-N,N,"ПРОЯВИТЬ, ОБРАБОТАТЬ ПРОЯВИТЕЛЕМ"
небольшой герметично запаянный сосуд (''обычно — стеклянный''),112219-N,N,ГЕРМЕТИЧНАЯ КАПСУЛА
,107217-N,N,ОБЛОМОК (КУСОК)
,147613-N,N,ГЛАВА ПРЕДПРИЯТИЯ
,138306-N,N,СТРАШНЫЙ (СИЛЬНЫЙ)
военнослужащий Иностранного легиона,147532-N,N,"ЛЕГИОНЕР, СОЛДАТ ЛЕГИОНА"
,7044-N,N,ДАЧНЫЙ УЧАСТОК
одарённость в отношении музыки,150475-N,N,МУЗЫКАЛЬНОСТЬ (СПОСОБНОСТЬ)
,133896-N,N,ПЛАТА ЗА ПРИРОДНЫЕ РЕСУРСЫ
"перестать быть уверенным в ком-либо, чём-либо, убедиться в неосновательности какого-либо своего мнения, предположения",120276-N,N,РАЗУВЕРИТЬСЯ
,127577-N,N,"КВИЛТ, ЛОСКУТНОЕ ОДЕЯЛО"
"определить, установить стоимость, цену, ценность чего-либо",115032-N,N,"ОЦЕНИТЬ, ОПРЕДЕЛИТЬ ЦЕНУ"
"человек, занимающийся разведением сада, специалист по садоводству.",113943-N,N,САДОВОД (РАСТЕНИЕВОД)
парная кость плечевого пояса у человека и позвоночных животных,109385-N,N,ЛОПАТКА (КОСТЬ)
"сменяться кем-либо, чем-либо, чередоваться; появляться, возникать попеременно, чередуясь с кем-либо, чем-либо",118309-N,N,"ЧЕРЕДОВАТЬСЯ, СМЕНЯТЬСЯ ПО ОЧЕРЕДИ"
,4988-N,N,ПРЕДПРИЯТИЕ ЛЕСНОЙ ПРОМЫШЛЕННОСТИ
,109439-N,N,КРАСНУХА
,9480-N,N,ДИРИЖАБЛЬ
,136121-N,N,МУСОРЩИК
"предмет мебели, плоский шкаф со многими секциями",114168-N,N,СТЕНКА (ШКАФ)
"порядок, условия и формы пользования водными ресурсами",488-N,N,ВОДОПОЛЬЗОВАНИЕ
,150044-N,N,"ВАХТА, ПОСТ ВАХТЕРА"
,1558-N,N,ИНВЕСТИЦИОННЫЙ ФОНД
,143778-N,N,УФИМЦЫ
,115700-N,N,ПРИГОТОВЛЕНИЕ ПИЩИ НА ПАРУ
,100867-N,N,ЗБРУЧ
,8566-N,N,ПИЛОТИРУЕМАЯ КОСМОНАВТИКА
,124860-N,N,УЛЫБЧИВЫЙ (ЧАСТО УЛЫБАЮЩИЙСЯ)
"наёмный рабочий, работающий и постоянно проживающий в стране, гражданином которой не является",134713-N,N,ИНОСТРАННЫЙ РАБОЧИЙ
парламент государства Израиль,138165-N,N,КНЕССЕТ
,141393-N,N,ГОСУДАРСТВЕННЫЙ ОБВИНИТЕЛЬ
"пространство существования, окружающий мир, окружение",127272-N,N,"ОКРУЖЕНИЕ, ОКРУЖАЮЩИЕ ЛЮДИ"
житель или уроженец Нижнего Новгорода,139217-N,N,НИЖЕГОРОДЦЫ
