,child_id,parent_id,child_context,parent_context
41,ОСОБЕННОСТИ ТЕЛОСЛОЖЕНИЯ,ВНЕШНЯЯ ЧЕРТА,"волос, глаз, цвета кожи и особенности телосложения сочетались в потомках кхмеро",
42,"ЗАПУЩЕННЫЙ, НЕУХОЖЕННЫЙ",ВНЕШНЯЯ ЧЕРТА," Участочек тогда был абсолютно запущенный, неухоженный, вообще никакой. ",
43,ГЛАВА ЦЕРКВИ,ГЛАВА ОРГАНИЗАЦИИ,"церковное; предполагало, что Киевский митрополит ― глава Церкви ― переехал бы к себе",
44,ПРЕЗИДЕНТ ОРГАНИЗАЦИИ,ГЛАВА ОРГАНИЗАЦИИ,"  «Либерализм умер повсеместно, — считает президент организации «Общественный диалог» Татьяна Булах",
45,ГЛАВА ПРЕДПРИЯТИЯ,ГЛАВА ОРГАНИЗАЦИИ," Кстати, поясняет глава предприятия, ДОСТ никого насильно не",
46,ДИРЕКТОР ОРГАНИЗАЦИИ,ГЛАВА ОРГАНИЗАЦИИ,"решило пойти на эксперимент рассказывает директор организации-заказчика, ООО «Партнер-строй",
47,ПРЕДСЕДАТЕЛЬ ОРГАНИЗАЦИИ,ГЛАВА ОРГАНИЗАЦИИ," Магомед Хазбиев, председатель организации «Мехк-кхел», называющей себя",
48,"РАЗБРОСАТЬ, РАСШВЫРЯТЬ",БРОСИТЬ (ПЕРЕМЕСТИТЬ),,
49,"МЕТАТЬ, БРОСАТЬ С РАЗМАХОМ",БРОСИТЬ (ПЕРЕМЕСТИТЬ),,
50,СБРОСИТЬ ВНИЗ,БРОСИТЬ (ПЕРЕМЕСТИТЬ),"схватить её длинными клещами и сбросить вниз, но главное, мы дышали",
51,ПОДБРОСИТЬ ВВЕРХ,БРОСИТЬ (ПЕРЕМЕСТИТЬ),руками об пол и попытался подбросить вверх ноги. ,
52,ВБРОСИТЬ,БРОСИТЬ (ПЕРЕМЕСТИТЬ),это не смущало.  Ведь главное ― вбросить лозунг.   Потом были и внезапный,
53,ОТБРОСИТЬ В СТОРОНУ,БРОСИТЬ (ПЕРЕМЕСТИТЬ)," Если отбросить в сторону все опасения, то",
54,"ПЕРЕБРОСИТЬ, БРОСИТЬ ЧЕРЕЗ",БРОСИТЬ (ПЕРЕМЕСТИТЬ),,
55,ЗАБРОСИТЬ (БРОСИТЬ КУДА-ТО ИЛИ ДАЛЕКО),БРОСИТЬ (ПЕРЕМЕСТИТЬ),,
56,ПОДБРОСИТЬ ДОПОЛНИТЕЛЬНО,БРОСИТЬ (ПЕРЕМЕСТИТЬ),,
57,"БРОСАТЬСЯ, БРОСАТЬ ДРУГ В ДРУГА",БРОСИТЬ (ПЕРЕМЕСТИТЬ),,
58,"ПОСЛАТЬ (БРОСИТЬ, НАПРАВИТЬ)",БРОСИТЬ (ПЕРЕМЕСТИТЬ),,
59,"БАХНУТЬ, ШАРАХНУТЬ",БРОСИТЬ (ПЕРЕМЕСТИТЬ),,
60,ПЕРЕБРОСИТЬ (ПРОМАХНУТЬСЯ),БРОСИТЬ (ПЕРЕМЕСТИТЬ),,
61,"ПЕРЕДАЧА МЯЧА, ШАЙБЫ",БРОСИТЬ (ПЕРЕМЕСТИТЬ),,
62,"БРОСОК МЯЧА, ШАЙБЫ",БРОСИТЬ (ПЕРЕМЕСТИТЬ),,
63,БОРЦОВСКИЙ БРОСОК,БРОСИТЬ (ПЕРЕМЕСТИТЬ),"за спиной, другая под юбкой, борцовский бросок черед бедро… ",
64,ГИПЕРИНФЛЯЦИЯ,ИНФЛЯЦИЯ,как бессмертные боги).   В Норрате гиперинфляция.  Начинающие игроки не в состоянии,
65,"ЗАБЕЖАТЬ, ЗАСКОЧИТЬ (ЗАЙТИ НЕНАДОЛГО)",ЗАЙТИ ПО ПУТИ,,
66,"НЕПРИХОТЛИВЫЙ, НЕПРИТЯЗАТЕЛЬНЫЙ",УМЕРЕННЫЙ (СРЕДНИЙ),,
67,ПОЧЕЧНАЯ НЕДОСТАТОЧНОСТЬ,ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ ОРГАНА,"день у больного развилась острая почечная недостаточность, и мы потеряли его",
68,СЕРДЕЧНАЯ НЕДОСТАТОЧНОСТЬ,ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ ОРГАНА,"в конце концов пишут ""острая сердечная недостаточность"" ― всё равно что написать",
69,ПЛАВКА МЕТАЛЛОВ,ВАРКА (ТЕХНОЛОГИЧЕСКИЙ ПРОЦЕСС),,
70,ОПРОС ОБЩЕСТВЕННОГО МНЕНИЯ,"ОПРОС, ОПРАШИВАНИЕ","есть набор стереотипов, предрассудков и опрос общественного мнения. ",
71,АНКЕТИРОВАНИЕ,"ОПРОС, ОПРАШИВАНИЕ",  * доска объявлений;   * анкетирование пользователей;   * электронная почта; ,
72,РАССАДИТЬ ПО МЕСТАМ,"САЖАТЬ, УСАЖИВАТЬ","что: дирижер всех здорово сумел рассадить по местам, а музыки не",
73,"ПЕРЕСАДИТЬ, ПОСАДИТЬ НА ДРУГОЕ МЕСТО","САЖАТЬ, УСАЖИВАТЬ",,
74,"СОРТИРОВАТЬ, ОТСОРТИРОВАТЬ",РАЗОБРАТЬ (НАВЕСТИ ПОРЯДОК),,
75,РАЗГРЕСТИ (НАВЕСТИ ПОРЯДОК),РАЗОБРАТЬ (НАВЕСТИ ПОРЯДОК),,
76,ИНДИГО (КРАСИТЕЛЬ),"КРАСИТЕЛЬ, КРАСЯЩИЙ АГЕНТ"," Напомним, что индиго ― краситель тёмно-синего цвета, ранее добывавшийся",
77,ОХРА,"КРАСИТЕЛЬ, КРАСЯЩИЙ АГЕНТ","Если комната получается"" теплая ""(шоколад, охра), то третий цвет холодный, оживит",
78,КАРМИН (КРАСКА),"КРАСИТЕЛЬ, КРАСЯЩИЙ АГЕНТ",,
79,МЕДИЦИНСКИЙ ИНСТИТУТ,МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ,"конструкторском бюро которого работала Елена, медицинский институт с клиниками и два",
80,МЕДИЦИНСКОЕ УЧИЛИЩЕ,МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ,"школу, выбрала для поступления Новгородское медицинское училище, я спрашивать не стал",
81,НЕОБУЗДАННЫЙ,"БЕЗУДЕРЖНЫЙ, НЕУДЕРЖИМЫЙ",впоследствии разорвала изнутри весь этот необузданный карамазовский русский род.   Но странное,
82,"СОСКОБЛИТЬ, ОТСКОБЛИТЬ",ОЧИСТИТЬ ВЕРХНИЙ СЛОЙ,,
83,ОНКОГЕМОТАЛОГИЯ,ОНКОЛОГИЯ,,
84,НЕДОСТАЧА,ФИНАНСОВОЕ НАРУШЕНИЕ,"даже в родильном отделении, холод, недостача дров, медикаментов, перевязочных материалов… ",
85,ФИНАНСОВОЕ ПРЕСТУПЛЕНИЕ,ФИНАНСОВОЕ НАРУШЕНИЕ," Но взрыв ― это не финансовое преступление, это террор. ",
86,"АВТОМОБИЛЬ ""ГАЗЕЛЬ""",АВТОМОБИЛЬ ГАЗ,"  «Открытые системы» объявляют конкурс Главный приз ― автомобиль «ГАЗЕЛЬ»   Издательство «Открытые системы», издающее",
87,АРМИРОВАТЬ (УВЕЛИЧИТЬ ПРОЧНОСТЬ ВВЕДЕНИЕМ АРМАТУРЫ),"УПРОЧНИТЬ (СДЕЛАТЬ ПРОЧНЕЕ, КРЕПЧЕ)",,
88,БИОИНЖЕНЕРИЯ,БИОТЕХНОЛОГИЯ,для технологического прогресса (биотехнология и биоинженерия) и революционных прорывов в медицине,
89,МУЗЫКАЛЬНОЕ ПРОИЗВЕДЕНИЕ,"СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО)","самым законам, по которым организуется музыкальное произведение, скажем симфония. ",
90,ЛИТЕРАТУРНОЕ ПРОИЗВЕДЕНИЕ,"СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО)","и низких материях, а это ― литературное произведение, а не выложенная на",
91,СТАТЬЯ (ТЕКСТ),"СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО)",,
92,ПАРОДИЯ (КОМИЧЕСКОЕ ИЛИ САТИРИЧЕСКОЕ ПОДРАЖАНИЕ),"СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО)",,
93,УСМИРИТЬ (СДЕЛАТЬ СМИРНЫМ),"УСПОКОИТЬ, УТИХОМИРИТЬ",,
94,"УКРОТИТЬ, ОБУЗДАТЬ","УСПОКОИТЬ, УТИХОМИРИТЬ",,
95,ГОРОДСКАЯ ЗЕМЛЯ,ГОРОДСКАЯ СОБСТВЕННОСТЬ," Когда городская земля становится слишком дорогой, здания",
96,РАВВИН,СЛУЖИТЕЛЬ КУЛЬТА,"пристав, местный присяжный поверенный, казённый раввин и просто раввин, отставной полковник",
97,ХРИСТИАНСКИЙ СВЯЩЕННОСЛУЖИТЕЛЬ,СЛУЖИТЕЛЬ КУЛЬТА,"более достойных наследников, чем этот христианский священнослужитель. ",
98,МОНАХ,СЛУЖИТЕЛЬ КУЛЬТА,"  - Ты монах, ― сказал ему на прощание Владыка",
99,МУСУЛЬМАНСКИЙ СВЯЩЕННОСЛУЖИТЕЛЬ,СЛУЖИТЕЛЬ КУЛЬТА,,
100,ЦЕРКОВНОСЛУЖИТЕЛЬ,СЛУЖИТЕЛЬ КУЛЬТА,и будешь ты у нас церковнослужитель! ,
101,РЕЛИГИОЗНЫЙ ПРОПОВЕДНИК,СЛУЖИТЕЛЬ КУЛЬТА,"заключалась именно в том, что религиозный проповедник потеснил, а потом и",
102,ЖРЕЦ,СЛУЖИТЕЛЬ КУЛЬТА," Танцующий барс, первобытный жрец, цирковой борец и заклинатель пространства",
103,ШАМАН (СЛУЖИТЕЛЬ КУЛЬТА),СЛУЖИТЕЛЬ КУЛЬТА,,
104,"ВИКАРИЙ, ПОМОЩНИК ЕПИСКОПА",СЛУЖИТЕЛЬ КУЛЬТА,,
105,ЦЕРКОВНЫЙ ИЕРАРХ,СЛУЖИТЕЛЬ КУЛЬТА,"совершенно справедливо недавно заметил высокий церковный иерарх, что противники возрождения России",
106,КАПЕЛЛАН,СЛУЖИТЕЛЬ КУЛЬТА,"второго рода неожиданно выделился королевский капеллан и математик, вчерашний шифровальщик при",
107,МОНАХИНЯ,СЛУЖИТЕЛЬ КУЛЬТА,законам авантюрного жанра именно эта монахиня и была наиболее опасным членом,
108,МАГИСТР ОРДЕНА,СЛУЖИТЕЛЬ КУЛЬТА," Магистр Ордена Розовых Кругов, погибший мастер",
109,ЧУДОДЕЙСТВЕННЫЙ,ЭФФЕКТИВНЫЙ,"Короче, за день я проделал чудодейственный маршрут: от воровства ― к литературе",
110,ТЕХНОЛОГИЧНЫЙ,ЭФФЕКТИВНЫЙ," «Предоплаченные карты ― удобный, технологичный инструмент, который позволяет нашим заемщикам",
111,ЭЛЕКТРОГИТАРА,ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"духе все тех же семидесятых, электрогитара. ",
112,СИНТЕЗАТОР,ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"ISE будем именовать Web- Pack, синтезатор LeonardoSpectrum будем называть Leonardo, полузаказную",
113,АРКА (СООРУЖЕНИЕ),ВОРОТА (ВХОД),,
114,ОПРОВЕРГНУТЬ,"ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО","мы не можем с уверенностью опровергнуть сомнения в том, что применительно",
115,ИЗОБЛИЧИТЬ (ДОКАЗАТЬ ВИНОВНОСТЬ),"ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО",,
116,"ОПРАВДАТЬСЯ (ДОКАЗАТЬ ПРАВОТУ, НЕВИНОВНОСТЬ)","ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО",,
117,ВЫРУБКА ДЕРЕВЬЕВ,СВЕСТИ (ОЧИСТИТЬ),"лесополосах, где регулярно производится санитарная вырубка деревьев, редко встретишь чёрного, зелёного",
118,ПАРЛАМЕНТСКИЕ ЧТЕНИЯ,ПАРЛАМЕНТСКИЕ СЛУШАНИЯ,,
119,ЗАТУХНУТЬ (ПОСТЕПЕННО ГАСНУТЬ),ГАСНУТЬ (ПЕРЕСТАВАТЬ ГОРЕТЬ),,
120,МЕЛКООПТОВАЯ ТОРГОВЛЯ,ОПТОВАЯ ТОРГОВЛЯ,"назвать важными и серьёзными, ― это мелкооптовая торговля, медленное умирание с голоду",
121,КРУПНООПТОВАЯ ТОРГОВЛЯ,ОПТОВАЯ ТОРГОВЛЯ,,
122,ЧЕЧЕНЦЫ,ВАЙНАХИ,"силовыми ведомствами окончательно и бесповоротно"".   ""Чеченцы из палаток"" проголосуют за Кадырова",
123,ИНГУШИ,ВАЙНАХИ,"населённых пунктах, где совместно проживают ингуши и осетины. ",
124,ГИДРОТЕХНИЧЕСКОЕ СТРОИТЕЛЬСТВО,ПРОМЫШЛЕННОЕ СТРОИТЕЛЬСТВО,чего достигло к тому времени гидротехническое строительство. ,
125,СЕРЬГА,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,всё красное… а причёска и серьга ― супер!! ,
126,КОЛЬЕ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"и толстое золотое с бриллиантами колье, кольцо и серьги. ",
127,КОЛЬЦО (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ," Sonya, 2004. 09. 0909: 46.   кольцо― украшение Murk, 2004. 09. 0911: 52",
128,ОЖЕРЕЛЬЕ (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ,,
129,КУЛОН (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ,,
130,БРАСЛЕТ (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ,,
131,ЗАПОНКА,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"кончикам пальцев было очень больно, запонка порой крепко кусала дряблую кожицу",
132,БРОШЬ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"и оставила мне в наследство брошь, которую подарил Георгий Иванов, когда",
133,МЕДАЛЬОН,ЮВЕЛИРНОЕ ИЗДЕЛИЕ," Над могилой Евреинова ― медальон с его изображением, рядом ― биолог",
134,КОРОНА МОНАРХА,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,,
135,ДРАГОЦЕННОСТЬ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,школе ― это большая редкость и драгоценность! ,
136,ЮВЕЛИРНАЯ ФИЛИГРАНЬ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,,
137,ЮВЕЛИРНЫЕ ПОДВЕСКИ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,,
138,КОРОНА (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ,,
139,ОТБЕЛИТЬ (ОСВЕТЛИТЬ),ОСВЕТЛИТЬ (СДЕЛАТЬ СВЕТЛЫМ),,
140,РАСТЯНУТЬ ПО ВРЕМЕНИ,ЗАТЯНУТЬ ПО ВРЕМЕНИ," Его можно растянуть по времени до бесконечности, если",
141,"КОПАТЬСЯ, КАНИТЕЛИТЬСЯ",ЗАТЯНУТЬ ПО ВРЕМЕНИ,,
142,ВДАТЬСЯ В РАССУЖДЕНИЯ,ЗАТЯНУТЬ ПО ВРЕМЕНИ,,
143,ПОЛЕГАНИЕ РАСТЕНИЙ,"НАКЛОНИТЬСЯ, СКЛОНИТЬСЯ",,
144,"КЛАНЯТЬСЯ, ДЕЛАТЬ ПОКЛОН","НАКЛОНИТЬСЯ, СКЛОНИТЬСЯ",,
145,ВИРАЖ (ПОВОРОТ С КРЕНОМ),"НАКЛОНИТЬСЯ, СКЛОНИТЬСЯ",,
146,ПРОСЕКА,"ВЫРУБКА, МЕСТО ВЫРУБКИ","стоял вдали на просеке, и просека, всё длиннее, темнее, уже, поглощала",
147,ЛЕСОСЕКА,"ВЫРУБКА, МЕСТО ВЫРУБКИ","проводились посадки молодняка, но чаще лесосека просто оставлялась на прихоть судьбы",
148,ПРЫСКАТЬ (БРЫЗГАТЬ),"БРЫЗГАТЬ, РАЗБРАСЫВАТЬ БРЫЗГИ",,
149,"РАЗБРЫЗГАТЬ, РАСПРЫСКАТЬ","БРЫЗГАТЬ, РАЗБРАСЫВАТЬ БРЫЗГИ",,
150,КРОВОТЕЧЕНИЕ,"ВЫЛИТЬСЯ, ВЫТЕЧЬ","  ― Так ведь кровь, кровотечение же, ― удивилась Таня. ",
151,ПРОЛИТЬСЯ,"ВЫЛИТЬСЯ, ВЫТЕЧЬ","над овальным зеркалом, не смея пролиться вниз. ",
152,"УТЕЧКА ЖИДКОСТИ, ГАЗА","ВЫЛИТЬСЯ, ВЫТЕЧЬ",,
153,ФОНТАНИРОВАНИЕ,"ВЫЛИТЬСЯ, ВЫТЕЧЬ","чем замысловатее будет путь и фонтанирование Бархина, тем меньше всего это",
154,ПЕРЕЛИТЬСЯ ЧЕРЕЗ КРАЙ,"ВЫЛИТЬСЯ, ВЫТЕЧЬ","хитроумны, что не позволят воде перелиться через край, если кран забыли",
155,ПОЧЕТНОЕ ЗВАНИЕ,ЗВАНИЕ,"последних маршалов СССР, получивших это почётное звание за реальные боевые заслуги",
156,ВОИНСКОЕ ЗВАНИЕ,ЗВАНИЕ,"сейчас он сообщит мне своё воинское звание, партийный стаж и предъявит",
157,УЧЕНАЯ СТЕПЕНЬ,ЗВАНИЕ,"сам по себе научный статус (учёная степень, звание) практикующему психологу нужен",
158,УЧЕНОЕ ЗВАНИЕ,ЗВАНИЕ,"жену, корову, изобретение, должность или учёное звание. ",
159,КЛАССНЫЙ ЧИН,ЗВАНИЕ, Этот 4-й классный чин государственной службы по табели,
160,СПОРТИВНОЕ ЗВАНИЕ,ЗВАНИЕ," Лидер ― единственное спортивное звание, которым наградить невозможно. ",
161,ДУХОВНЫЙ САН,ЗВАНИЕ, Духовный сан не помешал родителю просвистеть,
162,ДВОРЯНСКИЙ ТИТУЛ,ЗВАНИЕ,"в прошлом году жаловала генерал-лейтенанту дворянский титул, называла его ""сэр Майк",
163,ЧЕМПИОНСТВО,ЗВАНИЕ,"партнёров по сборной на сенсационное чемпионство в командном зачёте, а потом",
164,ТИТУЛ ПОБЕДИТЕЛЯ,ЗВАНИЕ,"на Уимблдоне рекордный 13-й титул победителя турнира «Большого шлема», Пит",
165,СОПРОВОЖДАТЬ (ДОПОЛНИТЬ),ПРИЛОЖИТЬ (ДОБАВИТЬ),,
166,НЕСОВЕРШЕННАЯ КОНКУРЕНЦИЯ,КОНКУРЕНЦИЯ,,
167,НЕЦЕНОВАЯ КОНКУРЕНЦИЯ,КОНКУРЕНЦИЯ,,
168,ГЕНЕРАТОР,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ," То есть, если генератор случайных чисел выдаст для данного",
169,АТОМНОЕ ОБОРУДОВАНИЕ,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ,,
170,ЭНЕРГОСИЛОВАЯ УСТАНОВКА,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ, Энергосиловая установка для электромобиля: бензиновый двигатель,
171,СОЛНЕЧНАЯ ЭНЕРГЕТИЧЕСКАЯ УСТАНОВКА,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ,,
172,ТЕПЛОЭНЕРГЕТИЧЕСКАЯ УСТАНОВКА,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ,,
173,"ЧАД, УДУШЛИВЫЙ ДЫМ",ДЫМ,,
174,РАСПРОСТРАНЕНИЕ ЯДЕРНОГО ОРУЖИЯ,"РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ)", Распространение ядерного оружия происходит не без,
175,РАСПРОСТРАНЕНИЕ ИНФОРМАЦИИ,"РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ)", Основная её задача ― распространение информации о программах приоритета FP,
176,РАЗНЕСТИ (РАСПРОСТРАНИТЬ),"РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ)",,
177,НАСИЛЬСТВЕННОЕ НАСАЖДЕНИЕ,"РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ)","характеру и задачам (уже не насильственное насаждение колхозного строя, а кадровая",
178,"ЗАМКНУТЫЙ, НЕОБЩИТЕЛЬНЫЙ",ТРУДНЫЙ ПО ХАРАКТЕРУ,,
179,"РАЗМЕРЕННЫЙ (РИТМИЧНЫЙ, НЕТОРОПЛИВЫЙ)","НЕТОРОПЛИВЫЙ, НЕСПЕШНЫЙ",,
180,МЕДИЦИНСКИЙ ДИАГНОЗ,МЕДИЦИНСКОЕ ЗАКЛЮЧЕНИЕ,"до уровня знахарки.  Нормальный официальный медицинский диагноз: сорвал пуп?  Хотя, если",
181,ПРОСЛАВЛЕННЫЙ,ЗНАМЕНИТЫЙ,"приглашению ― звезда, не звезда, молодой, прославленный, ― я всеми занимаюсь лично. ",
182,ЛЕГЕНДАРНЫЙ (ШИРОКОИЗВЕСТНЫЙ),ЗНАМЕНИТЫЙ,,
183,ТЕЛЕРАДИОКОМПАНИЯ,КОМПАНИЯ,"в этой ситуации показала самарская телерадиокомпания «РИО», руководство которой сумело заключить",
184,ИНОСТРАННАЯ КОМПАНИЯ,КОМПАНИЯ," Именно эта неизвестная иностранная компания, созданная незадолго до того",
185,КОМПАНИЯ-МОНОПОЛИСТ,КОМПАНИЯ,,
186,ТЕЛЕКОММУНИКАЦИОННАЯ КОМПАНИЯ,КОМПАНИЯ,"Post), почтовый банк (Postbank) и телекоммуникационная компания были преобразованы в акционерные",
