child,parent,label
религия,служитель культа,0
неэффективный,эффективный,0
"чувство, эмоция",эффективный,0
судоходство,северный флот,0
искусство,электромузыкальный инструмент,0
музыкальное искусство,электромузыкальный инструмент,0
вооруженный конфликт,оккупант,0
преступление,тюрьма (место отбывания наказания),0
правоохранительная деятельность,тюрьма (место отбывания наказания),0
уголовное наказание,тюрьма (место отбывания наказания),0
биология,хурма (растение),0
сельское хозяйство,хурма (растение),0
ботаника,хурма (растение),0
растениеводство,хурма (растение),0
химические науки,коррозия,0
медицина,капельница,0
промышленность,капельница,0
экономика,капельница,0
экономика,полтинник (монета в 50 копеек),0
филология,полтинник (монета в 50 копеек),0
денежная наличность,полтинник (монета в 50 копеек),0
финансовая сфера,полтинник (монета в 50 копеек),0
музыкальное искусство,горловое пение,0
биология,сандал (дерево),0
ботаника,сандал (дерево),0
мода,тулуп,0
одежда,тулуп,0
политическая деятельность,парламентские слушания,0
государственная управленческая деятельность,парламентские слушания,0
экономика,оптовая торговля,0
торговля,оптовая торговля,0
антропология,вайнахи,0
промышленность,промышленное строительство,0
строительство (отрасль),промышленное строительство,0
ювелирное искусство,ювелирное изделие,0
живопись (искусство),масляная краска,0
ветеринарная деятельность,ящур,0
зоология,ящур,0
физиологическая наука,ящур,0
"время, продолжительность",затянуть по времени,0
оборона государства,гвардия,0
военная служба,гвардия,0
транспортная сфера,шахтная клеть,0
средства массовой информации,собственный корреспондент,0
лесное хозяйство,"вырубка, место вырубки",0
филология,толковый словарь,0
литература,толковый словарь,0
промышленность,деревня,0
сельское хозяйство,деревня,0
игра (развлечение),детский конструктор,0
биология,жаворонок,0
зоология,жаворонок,0
экономика,конкуренция,0
предпринимательство,конкуренция,0
промышленность,энергетическое оборудование,0
энергетика (сфера деятельности),энергетическое оборудование,0
биология,валериана,0
ботаника,валериана,0
промышленность,доменный цех,0
уживчивый,трудный по характеру,0
психологические науки,трудный по характеру,0
черта характера,трудный по характеру,0
правовая система,отпускник,0
трудовые отношения,отпускник,0
кулинарное искусство,печень (орган),0
зоология,печень (орган),0
физиологическая наука,печень (орган),0
анатомия (наука),печень (орган),0
поспешный,"неторопливый, неспешный",0
медицина,медицинское заключение,0
"чувство, эмоция",самобичевание,0
наука,ординатор,0
медицина,ординатор,0
промышленность,компания,0
экономика,компания,0
отдых,карусель (аттракцион),0
автомобильный транспорт,бордюр дороги,0
дорожное движение,бордюр дороги,0
автомобильный транспорт,автомобиль мазда,0
кулинарное искусство,ложка,0
мода,ворот одежды,0
одежда,ворот одежды,0
делопроизводство,ручка для письма,0
издательско-полиграфическая деятельность,печатный макет,0
правовая система,незаконное копирование,0
преступление,незаконное копирование,0
медицина,общество красного креста,0
медицина,эндоскопическая аппаратура,0
промышленность,эндоскопическая аппаратура,0
экономика,эндоскопическая аппаратура,0
правовая система,экологическое правонарушение,0
экономика,внешнеэкономические отношения,0
дипломатические отношения,внешнеэкономические отношения,0
биология,пшеница,0
ботаника,пшеница,0
экономика,игровая ставка,0
филология,игровая ставка,0
денежная наличность,игровая ставка,0
азартные игры,игровая ставка,0
финансовая сфера,игровая ставка,0
оборона государства,морская пехота,0
военная служба,морская пехота,0
"чувство, эмоция",благоговеть,0
экономика,тепловая пушка,0
коммунальное хозяйство,тепловая пушка,0
экономика,"проигрыш, проигранная сумма",0
филология,"проигрыш, проигранная сумма",0
денежная наличность,"проигрыш, проигранная сумма",0
финансовая сфера,"проигрыш, проигранная сумма",0
энергетика (сфера деятельности),запруда,0
антропология,кумыки,0
правовая система,сторона защиты,0
судоустройство,сторона защиты,0
промышленность,промышленно-транспортное строительство,0
экономика,промышленно-транспортное строительство,0
строительство (отрасль),промышленно-транспортное строительство,0
преступление,гулаг,0
правоохранительная деятельность,гулаг,0
уголовное наказание,гулаг,0
астрономия,планета нептун,0
океанология,моряк-балтиец,0
фотоискусство,позитив (фотографическое изображение),0
выборы,самовыдвиженец,0
правовая система,мягкая порнография,0
экономика,мягкая порнография,0
половая жизнь,мягкая порнография,0
преступление,мягкая порнография,0
изобразительное искусство,клетка (узор),0
правовая система,заседатель,0
государственная управленческая деятельность,заседатель,0
выборы,заседатель,0
судоустройство,заседатель,0
филология,дубликат документа,0
делопроизводство,дубликат документа,0
спорт,хоккеист,0
хоккей на льду,хоккеист,0
спортивная игра,хоккеист,0
медицина,драже (лекарственная форма),0
фармакология,драже (лекарственная форма),0
психологические науки,"распущенный (недисциплинированный, своевольный)",0
черта характера,"распущенный (недисциплинированный, своевольный)",0
"время, продолжительность",запущенный (застарелый),0
биология,хна (кустарниковое растение),0
ботаника,хна (кустарниковое растение),0
антропология,чукчи,0
"цвет, окраска",потек (след),0
дипломатические отношения,зарубежное представительство,0
биология,станция юных натуралистов,0
сфера образования,станция юных натуралистов,0
медицина,гельминтоз,0
физиологическая наука,гельминтоз,0
медицина,электрокардиографическое исследование,0
кардиология,электрокардиографическое исследование,0
биология,муха,0
зоология,муха,0
одежда,берет (головной убор),0
мода,берет (головной убор),0
электротехника (сфера деятельности),сетевой фильтр (удлинитель),0
энергетика (сфера деятельности),сетевой фильтр (удлинитель),0
электричество (физическое явление),сетевой фильтр (удлинитель),0
промышленность,энергетический напиток,0
экономика,энергетический напиток,0
антропология,уральско-юкагирские народы,0
сельское хозяйство,уборочные работы,0
ботаника,уборочные работы,0
растениеводство,уборочные работы,0
правовая система,преступление против интересов службы,0
преступление,преступление против интересов службы,0
автомобильный транспорт,путепровод,0
дорожное движение,путепровод,0
кулинарное искусство,заправить пищу,0
бледный по окраске,яркий по цвету,0
"цвет, окраска",яркий по цвету,0
спорт,спортивная борьба,0
спортивная борьба,спортивная борьба,0
экономика,льготное налогообложение,0
налоговая система,льготное налогообложение,0
финансовая сфера,льготное налогообложение,0
"чувство, эмоция",ужаснуться (испугаться),0
океанология,алеутские острова,0
политическая деятельность,протекторат (форма зависимости государства),0
государственная управленческая деятельность,протекторат (форма зависимости государства),0
компьютер,платежный терминал,0
искусство,фельетон,0
филология,фельетон,0
литература,фельетон,0
искусство,сюрреализм,0
мистицизм,"талисман, оберег",0
антропология,чамалалы,0
филология,"перевод, текст перевода",0
искусство,рояль,0
музыкальное искусство,рояль,0
высшее образование,британские университеты,0
промышленность,городская электрическая сеть,0
экономика,городская электрическая сеть,0
электротехника (сфера деятельности),городская электрическая сеть,0
энергетика (сфера деятельности),городская электрическая сеть,0
электричество (физическое явление),городская электрическая сеть,0
экономика,денационализация,0
государственная управленческая деятельность,денационализация,0
промышленность,"проявить, обработать проявителем",0
химические науки,"проявить, обработать проявителем",0
оборона государства,"легионер, солдат легиона",0
вооруженный конфликт,"легионер, солдат легиона",0
военная служба,"легионер, солдат легиона",0
музыкальное искусство,музыкальность (способность),0
экономика,плата за природные ресурсы,0
налоговая система,плата за природные ресурсы,0
денежная наличность,плата за природные ресурсы,0
финансовая сфера,плата за природные ресурсы,0
сельское хозяйство,садовод (растениевод),0
ботаника,садовод (растениевод),0
растениеводство,садовод (растениевод),0
зоология,лопатка (кость),0
анатомия (наука),лопатка (кость),0
промышленность,предприятие лесной промышленности,0
лесное хозяйство,предприятие лесной промышленности,0
медицина,краснуха,0
физиологическая наука,краснуха,0
экономика,мусорщик,0
коммунальное хозяйство,мусорщик,0
предмет интерьера,стенка (шкаф),0
коммунальное хозяйство,водопользование,0
экономика,водопользование,0
кулинарное искусство,приготовление пищи на пару,0
космонавтика,пилотируемая космонавтика,0
психологические науки,улыбчивый (часто улыбающийся),0
черта характера,улыбчивый (часто улыбающийся),0
экономика,иностранный рабочий,0
политическая деятельность,кнессет,0
государственная управленческая деятельность,кнессет,0
правовая система,государственный обвинитель,0
политическая деятельность,государственный обвинитель,0
государственная управленческая деятельность,государственный обвинитель,0
преступление,государственный обвинитель,0
правоохранительная деятельность,государственный обвинитель,0
судоустройство,государственный обвинитель,0
искусство,фламенко,0
музыкальное искусство,фламенко,0
психологические науки,несокрушимый,0
черта характера,несокрушимый,0
гидрометеорология,муссон,0
сфера образования,медалист (выпускник),0
религия,доминиканец (монах),0
христианство,доминиканец (монах),0
католицизм,доминиканец (монах),0
сфера образования,школьный урок,0
экономика,счет на оплату,0
филология,счет на оплату,0
бухгалтерский учет,счет на оплату,0
финансовая сфера,счет на оплату,0
промышленность,рисовая крупа,0
экономика,рисовая крупа,0
беспричинный,причина явления,0
сфера образования,ликбез (обучение),0
измерение,зимний месяц,0
"время, продолжительность",зимний месяц,0
"время, продолжительность",приостановление операций по счету,0
промышленность,мукомольное предприятие,0
сельское хозяйство,мукомольное предприятие,0
компьютер,алгоритм программы,0
промышленность,мобильный контент,0
компьютер,мобильный контент,0
"цвет, окраска",рябиновый цвет,0
экономика,межбюджетные отношения,0
наука,биохимик,0
промышленность,биохимик,0
биохимия,биохимик,0
вооруженный конфликт,участник вооруженного формирования,0
преступление,участник вооруженного формирования,0
промышленность,великая депрессия,0
экономика,великая депрессия,0
"чувство, эмоция","брезгливый, гадливый",0
медицина,медицинская оптика,0
промышленность,медицинская оптика,0
экономика,медицинская оптика,0
экономика,депозитная операция,0
банковская система,депозитная операция,0
финансовая сфера,депозитная операция,0
антропология,лондонцы,0
экономика,макроэкономика,0
искусство,памятник искусства и культуры,0
мода,лохмотья,0
одежда,лохмотья,0
кулинарное искусство,приготовление пищи,0
филология,грамматический род,0
анатомия (наука),миокард,0
сельское хозяйство,табун,0
зоология,табун,0
животноводство,табун,0
религия,русская православная церковь,0
христианство,русская православная церковь,0
православие,русская православная церковь,0
рукоделие,вышивание (рукоделие),0
биология,дорадо (рыба),0
зоология,дорадо (рыба),0
гидрометеорология,мистраль,0
искусство,танец,0
танец,танец,0
медицина,интернатура,0
сфера образования,интернатура,0
анатомия (наука),вегетативная нервная система,0
мода,манто,0
одежда,манто,0
семья,дочь,0
судоходство,портленд,0
мода,меховая одежда,0
одежда,меховая одежда,0
правовая система,римский гладиатор,0
мода,обувщик,0
обувь,обувщик,0
экономика,налоговая служба,0
налоговая система,налоговая служба,0
государственная управленческая деятельность,налоговая служба,0
финансовая сфера,налоговая служба,0
экономика,налоговая система,0
налоговая система,налоговая система,0
финансовая сфера,налоговая система,0
биология,флора организма,0
микробиология,флора организма,0
медицина,фитопрепарат,0
промышленность,фитопрепарат,0
экономика,фитопрепарат,0
фармакология,фитопрепарат,0
промышленность,рыбная продукция,0
экономика,рыбная продукция,0
зоология,тройка лошадей,0
авиация (сфера деятельности),авиационный отряд,0
инженерное дело,проектировщик,0
правовая система,нормативно-техническая документация,0
филология,нормативно-техническая документация,0
кулинарное искусство,отбивная котлета,0
промышленность,защитный саркофаг,0
наука,географическая координата,0
науки о земле,географическая координата,0
геологические науки,географическая координата,0
математические науки,географическая координата,0
географические науки,географическая координата,0
"цвет, окраска",тень на изображении,0
экономика,федеральный бюджет,0
финансовая сфера,федеральный бюджет,0
автомобильный транспорт,водитель большегрузного автомобиля,0
грузовые перевозки,водитель большегрузного автомобиля,0
биология,ротвейлер,0
сельское хозяйство,ротвейлер,0
зоология,ротвейлер,0
животноводство,ротвейлер,0
компьютер,рубрикатор,0
филология,рубрикатор,0
биология,стриж,0
зоология,стриж,0
медицина,слабительное,0
промышленность,слабительное,0
экономика,слабительное,0
фармакология,слабительное,0
вооруженный конфликт,ветеран войны,0
социальная защита,ветеран войны,0
промышленность,мусороперерабатывающий завод,0
биология,таракан,0
зоология,таракан,0
судоходство,карачи,0
медицина,неврология,0
антропология,негры,0
биология,клюква (растение),0
ботаника,клюква (растение),0
безаварийная эксплуатация,авария,0
авария,авария,0
промышленность,зерно пшеницы,0
сельское хозяйство,зерно пшеницы,0
медицина,психотерапевт,0
психологические науки,психотерапевт,0
психиатрия,психотерапевт,0
сельское хозяйство,овощи,0
разговорчивый,"молчаливый, неразговорчивый",0
психологические науки,"молчаливый, неразговорчивый",0
черта характера,"молчаливый, неразговорчивый",0
правовая система,гауптвахта,0
оборона государства,гауптвахта,0
государственная управленческая деятельность,гауптвахта,0
преступление,гауптвахта,0
правоохранительная деятельность,гауптвахта,0
судоустройство,гауптвахта,0
военная служба,гауптвахта,0
измерение,акселерометр,0
наука,интеграл функции,0
математические науки,интеграл функции,0
"чувство, эмоция","соизволить, соблаговолить",0
транспортная сфера,электрокар,0
оборона государства,противопехотная мина,0
военная служба,противопехотная мина,0
спорт,спортивный трек,0
спортивная гонка,спортивный трек,0
биология,клевер,0
сельское хозяйство,клевер,0
ботаника,клевер,0
животноводство,клевер,0
государственная управленческая деятельность,полицейский,0
правоохранительная деятельность,полицейский,0
религия,пастор,0
христианство,пастор,0
протестантизм,пастор,0
игра (развлечение),детская игра,0
промышленность,воинский склад,0
экономика,воинский склад,0
оборона государства,воинский склад,0
военная служба,воинский склад,0
экономика,пакет акций,0
финансовая сфера,пакет акций,0
ценная бумага,пакет акций,0
психологические науки,резвый (подвижный и веселый),0
черта характера,резвый (подвижный и веселый),0
"цвет, окраска",гнедая масть,0
биология,гнедая масть,0
зоология,гнедая масть,0
геологические науки,месторождение драгоценных камней,0
добывающая промышленность,месторождение драгоценных камней,0
прикладные науки,нанотехнология,0
наука,нанотехнология,0
промышленность,нанотехнология,0
экономика,нанотехнология,0
физика,нанотехнология,0
биология,цветковое растение,0
ботаника,цветковое растение,0
транспортная сфера,малотоннажный груз,0
грузовые перевозки,малотоннажный груз,0
семья,семейно-брачные отношения,0
анатомия (наука),аорта,0
спорт,"блиц, молниеносная игра",0
шахматы,"блиц, молниеносная игра",0
спортивная игра,"блиц, молниеносная игра",0
промышленность,производственный цикл,0
игра (развлечение),атака (игровое действие),0
мода,варежки,0
одежда,варежки,0
филология,денежная ценная бумага,0
ценная бумага,денежная ценная бумага,0
промышленность,империя (крупная монополия),0
экономика,империя (крупная монополия),0
отдых,мизансцена,0
правовая система,душить (убивать),0
преступление,душить (убивать),0
антропология,колумбийцы (граждане колумбии),0
черта характера,отчаянный до безрассудства,0
психологические науки,депрессия (психическое состояние),0
анатомия (наука),депрессия (психическое состояние),0
"чувство, эмоция",депрессия (психическое состояние),0
медицина,сальмонеллез,0
физиологическая наука,сальмонеллез,0
наука,научно-исследовательская и опытно-конструкторская работа,0
кулинарное искусство,"обедать, есть обед",0
лесное хозяйство,поляна в лесу,0
экономика,соус,0
кулинарное искусство,соус,0
частичный,полный (вполне законченный),0
наука,философ-прагматик,0
философские науки,философ-прагматик,0
искусство,ведьма (злая волшебница),0
миф (народное сказание),ведьма (злая волшебница),0
мистицизм,ведьма (злая волшебница),0
гидрометеорология,молния (искровой разряд),0
электричество (физическое явление),молния (искровой разряд),0
автомобильный транспорт,кузов автомобиля,0
отдых,фойе,0
спорт,стендовая стрельба,0
биология,морская птица,0
зоология,морская птица,0
океанология,морская птица,0
биология,гиацинт (цветок),0
ботаника,гиацинт (цветок),0
мораль,этические нормы,0
"чувство, эмоция",ясновидение (сверхъестественная проницательность),0
спорт,гоночный болид,0
автомобильный транспорт,гоночный болид,0
спортивная гонка,гоночный болид,0
кулинарное искусство,консервант,0
медицина,рвота,0
биология,рвота,0
физиологическая наука,рвота,0
филология,купон,0
промышленность,какао (напиток),0
экономика,какао (напиток),0
транспортная сфера,радиомаяк,0
радиосвязь,радиомаяк,0
дипломатические отношения,международная помощь,0
экономика,лагер (пиво),0
кулинарное искусство,аппетитный на вид,0
"чувство, эмоция",аппетитный на вид,0
наука,аргумент функции,0
математические науки,аргумент функции,0
медицина,вживить в организм,0
хирургия,вживить в организм,0
православие,патриашество,0
искусство,музыкальная миниатюра,0
музыкальное искусство,музыкальная миниатюра,0
черта характера,удалой (полный удали),0
правовая система,рабочее время,0
трудовые отношения,рабочее время,0
"чувство, эмоция",карьеризм,0
психологические науки,"растяпа, ротозей",0
черта характера,"растяпа, ротозей",0
правовая система,пособник преступления,0
преступление,пособник преступления,0
дипломатические отношения,миротворческая деятельность,0
вооруженный конфликт,миротворческая деятельность,0
биология,ласточка-касатка,0
зоология,ласточка-касатка,0
медицина,загазованность,0
трудовые отношения,загазованность,0
биология,сова (птица),0
зоология,сова (птица),0
электротехника (сфера деятельности),настольная лампа,0
предмет интерьера,настольная лампа,0
искусство,сольный альбом,0
музыкальное искусство,сольный альбом,0
биология,магнолия,0
ботаника,магнолия,0
мода,комбинезон,0
одежда,комбинезон,0
политическая деятельность,депутат государственной думы,0
государственная управленческая деятельность,депутат государственной думы,0
выборы,депутат государственной думы,0
биология,папоротник,0
ботаника,папоротник,0
психологические науки,чистоплотный (опрятный),0
черта характера,чистоплотный (опрятный),0
промышленность,племенное животноводство,0
сельское хозяйство,племенное животноводство,0
животноводство,племенное животноводство,0
биохимия,фермент,0
экономика,школьное здание,0
среднее общее образование,школьное здание,0
изобразительное искусство,узор,0
игра (развлечение),ход в карточной игре,0
автомобильный транспорт,автомобильное оборудование,0
филология,табасаранский язык,0
правовая система,"преступление против свободы, чести и достоинства",0
преступление,"преступление против свободы, чести и достоинства",0
промышленность,покрывающая часть,0
правовая система,военный переворот,0
политическая деятельность,военный переворот,0
преступление,военный переворот,0
психологические науки,меркантильный (излишне расчетливый),0
черта характера,меркантильный (излишне расчетливый),0
дипломатические отношения,международные контакты,0
биология,семейство тетеревиные,0
зоология,семейство тетеревиные,0
промышленность,градообразующее предприятие,0
экономика,градообразующее предприятие,0
промышленность,сборочный конвейер,0
транспортная сфера,сборочный конвейер,0
правовая система,забастовка,0
политическая деятельность,забастовка,0
трудовые отношения,забастовка,0
измерение,мегабит,0
психологические науки,"вялый (лишенный бодрости, энергии)",0
черта характера,"вялый (лишенный бодрости, энергии)",0
биология,цеце,0
зоология,цеце,0
дипломатические отношения,денонсация договора,0
автомобильный транспорт,тоннель,0
медицина,плоскостопие,0
физиологическая наука,плоскостопие,0
игра (развлечение),сухой счет,0
сельское хозяйство,улей,0
зоология,улей,0
животноводство,улей,0
судоходство,балтимор,0
автомобильный транспорт,газовый автомобиль,0
оборона государства,военная комендатура,0
военная служба,военная комендатура,0
филология,книга (часть романа),0
филология,родной язык,0
искусство,пианино,0
музыкальное искусство,пианино,0
предмет интерьера,пианино,0
дипломатические отношения,генеральное консульство,0
экономика,трансфертный платеж,0
денежная наличность,трансфертный платеж,0
промышленность,садоводство,0
сельское хозяйство,садоводство,0
ботаника,садоводство,0
растениеводство,садоводство,0
спорт,гимнастический обруч,0
экономика,биржевые торги,0
торговля,биржевые торги,0
биржевой рынок,биржевые торги,0
искусство,лезгинка,0
танец,лезгинка,0
экономика,бюджет субъекта российской федерации,0
финансовая сфера,бюджет субъекта российской федерации,0
отдых,шутка (высказывание),0
биология,мандариновое дерево,0
сельское хозяйство,мандариновое дерево,0
ботаника,мандариновое дерево,0
растениеводство,мандариновое дерево,0
архитектура,арка (сооружение),0
строительство (отрасль),арка (сооружение),0
медицина,гудеть (испытывать ноющую боль),0
биология,гудеть (испытывать ноющую боль),0
физиологическая наука,гудеть (испытывать ноющую боль),0
"чувство, эмоция",гудеть (испытывать ноющую боль),0
медицина,диспансеризация,0
трудовые отношения,вербовать,0
отдых,теледебаты,0
телевидение,теледебаты,0
супружество,жена,0
семья,жена,0
психологические науки,безмозглый,0
черта характера,безмозглый,0
